dataset,variant,epsilon,steps,reference_steps,seed,num_nodes,num_classes,full_edges,graph_edges,edge_fraction,ground_truth_key,sparsify_time_sec,slp_time_sec,pipeline_time_sec,steps_wasserstein_to_reference,slp_wasserstein,slp_cdf_l1,slp_cdf_l2
Cora,original,,32,32,0,2708,7,5278,5278,1.0,Cora,0.0,0.02522070799999998,0.02522070799999998,0.0,0.022410653715336175,0.003907740832645119,0.007114367424384865
Cora,sparsified,0.9,32,32,0,2708,7,5278,5278,1.0,Cora,2.723723959,0.02360525000000102,2.747329209000001,0.0,0.022410653715336175,0.003907740832645119,0.007114367424384865
Photo,original,,32,32,0,7650,8,119081,119081,1.0,Amazon Photo,0.0,0.09219770800000049,0.09219770800000049,0.0,0.02552562594929345,0.0020591893050123412,0.0029475802346640894
Photo,sparsified,0.9,32,32,0,7650,8,119081,113009,0.9490094977368346,Amazon Photo,2.895757958,0.08647883299999926,2.982236790999999,0.0,0.025466867384110557,0.002076275657555755,0.0030000732461699965
Texas,original,,32,32,0,183,5,279,279,1.0,Texas,0.0,0.004833834000001147,0.004833834000001147,0.0,0.30097766937292014,0.14880705478373063,0.18218084643179708
Texas,sparsified,0.9,32,32,0,183,5,279,279,1.0,Texas,2.352603041,0.005348582999999962,2.357951624,0.0,0.30097766937292014,0.14880705478373063,0.18218084643179708
Chameleon,original,,32,32,0,890,5,8854,8854,1.0,Chameleon,0.0,0.008902750000000736,0.008902750000000736,0.0,0.0619435108395862,0.03278272649454538,0.052620916231219554
Chameleon,sparsified,0.9,32,32,0,890,5,8854,8143,0.9196973119494014,Chameleon,2.450095334,0.009438332999998522,2.4595336669999983,0.0,0.0650829158430749,0.034141981909408495,0.05698983571841694
CiteSeer,original,,32,32,0,3327,6,4552,4552,1.0,CiteSeer,0.0,0.022924291999999014,0.022924291999999014,0.0,0.04984077416664846,0.023125630824714465,0.02813287480733639
CiteSeer,sparsified,0.9,32,32,0,3327,6,4552,4552,1.0,CiteSeer,2.873661667,0.02293608399999414,2.896597750999994,0.0,0.04984077416664846,0.023125630824714465,0.02813287480733639
Computers,original,,32,32,0,13752,10,245861,245861,1.0,Amazon Computers,0.0,0.20846941700000343,0.20846941700000343,0.0,0.020336389813935665,0.0034447984683871956,0.004980747380348875
Computers,sparsified,0.9,32,32,0,13752,10,245861,225427,0.9168879976897515,Amazon Computers,3.212326166,0.19154383400000086,3.403870000000001,0.0,0.02030773795463092,0.0034137815166896414,0.004887150637085819
CS,original,,32,32,0,18333,15,81894,81894,1.0,Coauthor CS,0.0,0.24098341700000248,0.24098341700000248,0.0,0.021770915662371687,0.0034798237460815003,0.005106762819722823
CS,sparsified,0.9,32,32,0,18333,15,81894,81892,0.9999755781864361,Coauthor CS,2.727960041,0.2142025839999988,2.9421626249999986,0.0,0.021771350104236555,0.0034797304374357347,0.0051064659385309
Cornell,original,,32,32,0,183,5,277,277,1.0,Cornell,0.0,0.005268624999999361,0.005268624999999361,0.0,0.2821206421909799,0.13712357037463022,0.16261390451791133
Cornell,sparsified,0.9,32,32,0,183,5,277,277,1.0,Cornell,2.538511417,0.005300790999996252,2.5438122079999963,0.0,0.2821206421909799,0.13712357037463022,0.16261390451791133
Wisconsin,original,,32,32,0,251,5,450,450,1.0,Wisconsin,0.0,0.005496499999999571,0.005496499999999571,0.0,0.23588394646650584,0.1148517581172489,0.1373898954694332
Wisconsin,sparsified,0.9,32,32,0,251,5,450,450,1.0,Wisconsin,2.501272375,0.005524375000000248,2.5067967500000004,0.0,0.23588394646650584,0.1148517581172489,0.1373898954694332
Actor,original,,32,32,0,7600,5,26659,26659,1.0,Actor,0.0,0.038360167000000445,0.038360167000000445,0.0,0.07781736883256454,0.03700966107974033,0.04664826708575255
Actor,sparsified,0.9,32,32,0,7600,5,26659,26651,0.999699913725196,Actor,2.466868833,0.038911458000001176,2.505780291000001,0.0,0.07781565589238232,0.037008950257081875,0.046647837701969584
Squirrel,original,,32,32,0,2223,5,46998,46998,1.0,Squirrel,0.0,0.030351584000001708,0.030351584000001708,0.0,0.07051325675858003,0.035510843528653295,0.052364020671409356
Squirrel,sparsified,0.9,32,32,0,2223,5,46998,28067,0.5971956253457594,Squirrel,2.533995708,0.022724624999995058,2.556720332999995,0.0,0.07585780070055602,0.038462774803796534,0.05839303734562885
Minesweeper,original,,32,32,0,10000,2,39402,39402,1.0,Minesweeper,0.0,0.016703041999988955,0.016703041999988955,0.0,0.023993884450300488,0.007499631599529,0.014464549549903154
Minesweeper,sparsified,0.9,32,32,0,10000,2,39402,39402,1.0,Minesweeper,2.52492375,0.016452708000002758,2.541376458000003,0.0,0.023993884450300488,0.007499631599529,0.014464549549903154
Tolokers,original,,32,32,0,11758,2,519000,519000,1.0,Tolokers,0.0,0.10114783299999885,0.10114783299999885,0.0,0.024912953624659007,0.008332973358262927,0.019371230561922505
Tolokers,sparsified,0.9,32,32,0,11758,2,519000,290741,0.5601946050096339,Tolokers,3.419090542,0.05765287499998806,3.4767434169999882,0.0,0.025424584908928877,0.008699391879307853,0.020728770797977955
