dataset,variant,epsilon,steps,reference_steps,seed,num_nodes,num_classes,full_edges,graph_edges,edge_fraction,ground_truth_key,sparsify_time_sec,slp_time_sec,pipeline_time_sec,steps_wasserstein_to_reference,slp_wasserstein,slp_cdf_l1,slp_cdf_l2
AmazonRatings,original,,64,64,0,24492,5,93050,93050,1.0,Amazon Ratings,0.0,0.2639503329999999,0.2639503329999999,0.0,0.022619261622373984,0.003004092794252691,0.004174000633255897
AmazonRatings,sparsified,0.9,64,64,0,24492,5,93050,93049,0.9999892530897367,Amazon Ratings,2.932541375,0.27110775000000054,3.2036491250000005,0.0,0.022620165471814096,0.0030038372502849075,0.004173376921227089
RomanEmpire,original,,64,64,0,22662,18,32927,32927,1.0,Roman Empire,0.0,0.7849380420000003,0.7849380420000003,0.0,0.021594483935743508,0.00341768274922591,0.004390240743939148
RomanEmpire,sparsified,0.9,64,64,0,22662,18,32927,32927,1.0,Roman Empire,2.548248125,0.8076115420000001,3.3558596670000003,0.0,0.021594483935743508,0.00341768274922591,0.004390240743939148
PubMed,original,,64,64,0,19717,3,44324,44324,1.0,PubMed,0.0,0.13258120900000137,0.13258120900000137,0.0,0.020451507943955095,0.0013280629777318676,0.001983883344534654
PubMed,sparsified,0.9,64,64,0,19717,3,44324,44324,1.0,PubMed,2.706696625,0.1321694579999999,2.838866083,0.0,0.02045165813586086,0.0013282337972688064,0.0019842458374387524
CS,original,,64,64,0,18333,15,81894,81894,1.0,Coauthor CS,0.0,0.6321465410000009,0.6321465410000009,0.0,0.020421100529282185,0.0016706618657960797,0.002329106522297367
CS,sparsified,0.9,64,64,0,18333,15,81894,81892,0.9999755781864361,Coauthor CS,2.646475083,0.6336111250000016,3.2800862080000015,0.0,0.02042152703306636,0.0016696200801854426,0.002328558831454498
Computers,original,,64,64,0,13752,10,245861,245861,1.0,Amazon Computers,0.0,0.519179874999999,0.519179874999999,0.0,0.018952033720867702,0.0015237269899199503,0.0023736168474112885
Computers,sparsified,0.9,64,64,0,13752,10,245861,225427,0.9168879976897515,Amazon Computers,3.330765625,0.4890555830000025,3.8198212080000027,0.0,0.018884785035611376,0.0014369672493038232,0.0022941918120002254
Tolokers,original,,64,64,0,11758,2,519000,519000,1.0,Tolokers,0.0,0.20288433400000372,0.20288433400000372,0.0,0.02165910205108139,0.0011094750598190874,0.001972099950871627
Tolokers,sparsified,0.9,64,64,0,11758,2,519000,290741,0.5601946050096339,Tolokers,3.579061042,0.12652529199999663,3.705586333999997,0.0,0.024018803510813595,0.0036210340316258603,0.007181421692236858
