dataset,num_nodes,num_edges,num_features,num_classes,K,a,b,seed,best_val_acc,best_test_acc,epochs_ran,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
CS,18333,163788,6805,15,4,-0.99,-0.99,0,0.9571740031242371,0.9533805847167969,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.99,1,0.9577195644378662,0.955561637878418,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.99,2,0.9558101296424866,0.9580152630805969,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.99,3,0.951172947883606,0.9498364329338074,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.99,4,0.9590834975242615,0.95010906457901,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.99,5,0.9539006948471069,0.955561637878418,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.99,6,0.9569012522697449,0.9577426314353943,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.99,7,0.9525368213653564,0.9552890062332153,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.99,8,0.9560829401016235,0.9531079530715942,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.99,9,0.9549918174743652,0.9533805847167969,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.89,0,0.9569012522697449,0.9514721632003784,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.89,1,0.9560829401016235,0.9533805847167969,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.89,2,0.9560829401016235,0.9574699997901917,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.89,3,0.9503546357154846,0.9498364329338074,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.89,4,0.9596289992332458,0.9506543278694153,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.89,5,0.9566285014152527,0.9566521048545837,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.89,6,0.9566285014152527,0.957197368144989,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.89,7,0.9528095722198486,0.9541984796524048,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.89,8,0.9555373787879944,0.952562689781189,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.89,9,0.9549918174743652,0.952562689781189,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.79,0,0.9579923748970032,0.9539258480072021,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.79,1,0.9579923748970032,0.9550163745880127,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.79,2,0.9541735053062439,0.9574699997901917,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.79,3,0.9514456987380981,0.9490185379981995,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.79,4,0.9599018096923828,0.9514721632003784,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.79,5,0.9549918174743652,0.9552890062332153,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.79,6,0.9563556909561157,0.9569247364997864,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.79,7,0.9528095722198486,0.9558342695236206,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.79,8,0.9560829401016235,0.9563794732093811,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.79,9,0.954719066619873,0.951744794845581,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.6900000000000001,0,0.957446813583374,0.9533805847167969,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.6900000000000001,1,0.9569012522697449,0.9539258480072021,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.6900000000000001,2,0.9544462561607361,0.9580152630805969,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.6900000000000001,3,0.950900137424469,0.9511995911598206,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.6900000000000001,4,0.9588106870651245,0.9533805847167969,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.6900000000000001,5,0.9571740031242371,0.9552890062332153,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.6900000000000001,6,0.9566285014152527,0.9558342695236206,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.6900000000000001,7,0.9522640705108643,0.9561068415641785,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.6900000000000001,8,0.9560829401016235,0.9558342695236206,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.6900000000000001,9,0.9569012522697449,0.9531079530715942,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.5900000000000001,0,0.9571740031242371,0.9541984796524048,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.5900000000000001,1,0.9549918174743652,0.9547437429428101,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.5900000000000001,2,0.9541735053062439,0.9566521048545837,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.5900000000000001,3,0.951172947883606,0.9511995911598206,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.5900000000000001,4,0.9590834975242615,0.9514721632003784,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.5900000000000001,5,0.9549918174743652,0.9552890062332153,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.5900000000000001,6,0.9541735053062439,0.9522900581359863,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.5900000000000001,7,0.9530823826789856,0.9550163745880127,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.5900000000000001,8,0.9563556909561157,0.9552890062332153,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
