dataset,num_nodes,num_edges,num_features,num_classes,a,b,K,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,n_seeds,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
Cornell,183,298,1703,5,-0.99,-0.99,4,0.755932193994522,0.046231115796456966,0.7108108162879944,0.05135135336926318,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,-0.89,4,0.7525423705577851,0.058320851975055564,0.6783783733844757,0.05597924087186326,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,-0.79,4,0.7423728823661804,0.05295083400701951,0.6702702701091766,0.04954136315311921,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,-0.6900000000000001,4,0.7542372882366181,0.040994524261460434,0.664864856004715,0.024770690681322177,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,-0.5900000000000001,4,0.7389830529689789,0.03953187042690014,0.6864864885807037,0.05565206043334818,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,-0.4900000000000001,4,0.7305084824562073,0.05166016621344232,0.6864864885807037,0.03666124942254934,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,-0.3900000000000001,4,0.7525423884391784,0.03143598909359907,0.6783783733844757,0.05191722766437904,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,-0.29000000000000015,4,0.7542372882366181,0.04028766685554098,0.6756756722927093,0.05268538012572087,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,-0.19000000000000017,4,0.7491525411605835,0.0459818958595694,0.6702702641487122,0.04151971769293893,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,-0.09000000000000019,4,0.7423728764057159,0.05073432479827481,0.6756756663322449,0.04357977151252066,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,0.009999999999999787,4,0.7627118647098541,0.03865000696735606,0.6756756782531739,0.046812176733768196,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,0.10999999999999965,4,0.7355932235717774,0.049820127412805386,0.6621621489524842,0.04230399020437649,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,0.20999999999999974,4,0.7355932235717774,0.03650959820670434,0.6675675749778748,0.05802948781759664,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Cornell,183,298,1703,5,-0.99,0.30999999999999983,4,0.7186440706253052,0.05682391309682327,0.6297297298908233,0.04689013239439476,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
