dataset,num_nodes,num_edges,num_features,num_classes,a,b,K,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,n_seeds,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
Physics,34493,495924,8415,5,-0.99,-0.99,4,0.9668019771575928,0.0017552630384892185,0.966811603307724,0.0013517895258786665,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.89,4,0.9666425108909606,0.0012562297262807046,0.9669565260410309,0.0023404800987676592,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.79,4,0.9663090765476227,0.0015096378612814605,0.9669565200805664,0.002409449564452789,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.6900000000000001,4,0.9665990054607392,0.001381700033309188,0.966869568824768,0.0022237789744699865,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.5900000000000001,4,0.9664395451545715,0.0020667667151986146,0.966869568824768,0.0014596791801150546,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.4900000000000001,4,0.9663090765476227,0.002085955359939951,0.9668115913867951,0.0015255304226971433,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.3900000000000001,4,0.9663525640964508,0.0016057618527259754,0.9669130444526672,0.002041414060931519,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.29000000000000015,4,0.9664830386638641,0.001860807053584939,0.9669565260410309,0.002352120045189301,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.19000000000000017,4,0.9665555238723755,0.0015801741443146535,0.9671594262123108,0.002381580791730299,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.09000000000000019,4,0.9668019771575928,0.001388989798504583,0.9673913002014161,0.0021787381654637646,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.009999999999999787,4,0.9674108445644378,0.0015904395482229281,0.9678695678710938,0.002366406828545455,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.10999999999999965,4,0.9665700197219849,0.0024120671361420555,0.9667101442813874,0.0026470975994422547,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.20999999999999974,4,0.9668019711971283,0.001606481474075165,0.9673478305339813,0.002049639986315261,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.30999999999999983,4,0.9666425049304962,0.001133084105746094,0.9668550670146943,0.002291552700977333,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.4099999999999997,4,0.9665845155715942,0.0015221879596378815,0.9673478245735169,0.0020290330583911716,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.5099999999999996,4,0.9667149841785431,0.0021357370154266226,0.9668695569038391,0.001312691901791951,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.6099999999999997,4,0.9670049250125885,0.0019354414753635818,0.9672318756580353,0.002682102631399646,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.7099999999999997,4,0.967004930973053,0.001770994697211477,0.9674202919006347,0.0020839297685432325,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.8099999999999996,4,0.9668164789676666,0.001998736140437089,0.9669710218906402,0.002019066038633024,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.9099999999999995,4,0.9666859924793243,0.0023075261370061337,0.9672028958797455,0.0015636790312413566,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.0099999999999996,4,0.9667294919490814,0.0015563051064504487,0.9670434713363647,0.002357645792968174,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.1099999999999997,4,0.9661785960197449,0.0025000832403714464,0.9665362238883972,0.0010619293905907415,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.2099999999999993,4,0.9664830446243287,0.0019938472209193943,0.9666811525821686,0.002277216922018599,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.3099999999999994,4,0.9667874872684479,0.0020207013981963506,0.9674347817897797,0.002286042341097667,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.4099999999999995,4,0.9663235783576966,0.0020450947165944187,0.9669275462627411,0.0014648474769954074,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.5099999999999996,4,0.966497540473938,0.001556579394054849,0.9665942013263702,0.0028769153687834208,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.6099999999999997,4,0.9662945747375489,0.0014133667380169226,0.9669710159301758,0.00247860433749045,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.7099999999999993,4,0.9666859984397889,0.0021916883797885285,0.9669855177402497,0.001709646415132035,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.8099999999999994,4,0.9670629143714905,0.0017052335750998887,0.9675652086734772,0.0021523494430142577,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.9099999999999995,4,0.967120909690857,0.0014245461233406364,0.9677825987339019,0.002018658006657206,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.009999999999999,4,0.9668454587459564,0.0020450902802027237,0.9674202859401703,0.0012747002858157076,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.1099999999999994,4,0.96728036403656,0.001845216933315061,0.9675217390060424,0.0024461837908331756,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.209999999999999,4,0.966497540473938,0.0019913732906597995,0.9668115973472595,0.0014751399379978884,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.3099999999999996,4,0.9668599605560303,0.0020919886905244206,0.9668550789356232,0.001708729561790298,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.4099999999999993,4,0.9662945747375489,0.0014716325449207323,0.9665217339992523,0.0022093765995020616,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.509999999999999,4,0.9672078788280487,0.0014767026057376689,0.967014491558075,0.0024218068783417733,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.6099999999999994,4,0.9669904410839081,0.0017529277008296565,0.9669855058193206,0.0019093072569121982,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.709999999999999,4,0.9667005002498626,0.001875715004368882,0.9670000076293945,0.0016008455553771321,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
