dataset,num_nodes,num_edges,num_features,num_classes,a,b,K,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,n_seeds,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
RomanEmpire,22662,65854,300,18,-0.99,-0.99,4,0.669902914762497,0.00361160966587087,0.6683903992176056,0.005204823353747629,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,-0.99,-0.89,4,0.6738040566444397,0.002130668165081696,0.6728909254074097,0.006220514885667906,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,-0.99,-0.79,4,0.6786937355995178,0.0029057066064793985,0.6771796703338623,0.005023924544107176,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,-0.99,-0.6900000000000001,4,0.6812709629535675,0.0022106951571678555,0.6809565901756287,0.003990460499514503,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,-0.99,-0.5900000000000001,4,0.6864607155323028,0.0029206845812018416,0.6852453172206878,0.005738657116795203,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,-0.99,-0.4900000000000001,4,0.6895145654678345,0.002942639089279111,0.688422167301178,0.0053183395371281285,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,-0.99,-0.3900000000000001,4,0.6910856246948243,0.0043159696513513915,0.6906106650829316,0.004922174290910531,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,-0.99,-0.29000000000000015,4,0.6951632916927337,0.004071870444716433,0.692905044555664,0.005789894825924674,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,-0.99,-0.19000000000000017,4,0.6967343389987946,0.0034347103991038785,0.6933639228343964,0.00484962534305712,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,-0.99,-0.09000000000000019,4,0.6978464305400849,0.004947712654950789,0.6967878639698029,0.008177859475658978,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
