dataset,num_nodes,num_edges,num_features,num_classes,K,a,b,seed,best_val_acc,best_test_acc,epochs_ran,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
RomanEmpire,22662,65854,300,18,4,-0.99,-0.99,0,0.6737864017486572,0.6696081757545471,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.99,1,0.6727272868156433,0.6678432822227478,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.99,2,0.6695498824119568,0.6621955633163452,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.99,3,0.672197699546814,0.6754323840141296,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.99,4,0.6649602651596069,0.6659018993377686,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.99,5,0.672021210193634,0.6771973371505737,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.99,6,0.6646072268486023,0.665195882320404,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.99,7,0.6646072268486023,0.6678432822227478,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.99,8,0.6706089973449707,0.6726085543632507,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.99,9,0.6739629507064819,0.6600776314735413,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.89,0,0.6755516529083252,0.6729615330696106,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.89,1,0.6759046912193298,0.683551013469696,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.89,2,0.672197699546814,0.6666078567504883,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.89,3,0.6737864017486572,0.6773738265037537,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.89,4,0.6711385846138,0.6685492396354675,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.89,5,0.6744924783706665,0.6810801029205322,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.89,6,0.6729037761688232,0.665372371673584,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.89,7,0.6700794100761414,0.6731380224227905,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.89,8,0.6746690273284912,0.6754323840141296,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.89,9,0.6773168444633484,0.6648429036140442,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.79,0,0.6836716532707214,0.6814330816268921,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.79,1,0.6815534234046936,0.6846099495887756,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.79,2,0.6797881722450256,0.6775503158569336,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.79,3,0.673080325126648,0.6754323840141296,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.79,4,0.677669882774353,0.6727850437164307,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.79,5,0.678552508354187,0.6819626092910767,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.79,6,0.6787290573120117,0.6734910011291504,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.79,7,0.6767873167991638,0.6810801029205322,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.79,8,0.6759046912193298,0.676491379737854,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.79,9,0.6812003254890442,0.6669608354568481,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.6900000000000001,0,0.6817299127578735,0.6824920773506165,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.6900000000000001,1,0.6822595000267029,0.6816096305847168,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.6900000000000001,2,0.6796116232872009,0.6768443584442139,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.6900000000000001,3,0.6813768744468689,0.6879633069038391,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.6900000000000001,4,0.6824359893798828,0.6814330816268921,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.6900000000000001,5,0.6790820956230164,0.6860218644142151,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.6900000000000001,6,0.6834951639175415,0.6777268052101135,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.6900000000000001,7,0.6774933934211731,0.6826685667037964,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
