dataset,num_nodes,num_edges,num_features,num_classes,a,b,K,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,n_seeds,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
Squirrel,2223,46998,2089,5,-0.99,-0.99,4,0.3633704721927643,0.009837444872605019,0.37876106798648834,0.006548075515598215,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,-0.89,4,0.36197771430015563,0.0049221743199801115,0.37477876245975494,0.008522726869840682,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,-0.79,4,0.3704735368490219,0.015732620204858445,0.37721239030361176,0.01725805248001228,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,-0.6900000000000001,4,0.3708913654088974,0.009750301463457777,0.38407079577445985,0.010480281512952255,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,-0.5900000000000001,4,0.3653203368186951,0.008631727104447729,0.3712389379739761,0.012624195797691078,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,-0.4900000000000001,4,0.36225626766681673,0.012212663532457781,0.37345133125782015,0.012546415669094844,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,-0.3900000000000001,4,0.36713091731071473,0.014964206576147795,0.3763274371623993,0.012688006495608476,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,-0.29000000000000015,4,0.3598885774612427,0.010555596751260133,0.3634955734014511,0.01371145808162778,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,-0.19000000000000017,4,0.3596100270748138,0.016837974504802164,0.36792035698890685,0.012079319606596198,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,-0.09000000000000019,4,0.36434540450572966,0.013259758576999915,0.36725664138793945,0.01074774861640856,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,0.009999999999999787,4,0.36378830671310425,0.014933066530181229,0.37323008477687836,0.010612552484257489,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,0.10999999999999965,4,0.3579387187957764,0.014148657972986128,0.35973452031612396,0.01898534700552878,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,0.20999999999999974,4,0.36183843910694125,0.011715736532806142,0.37146017551422117,0.016361214545227685,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,0.30999999999999983,4,0.35487465262413026,0.01666427033248762,0.36393805146217345,0.012641631559529756,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,0.4099999999999997,4,0.3608635127544403,0.019809005913088457,0.36460177004337313,0.013081190015783534,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,0.5099999999999996,4,0.35835654437541964,0.018149190315021425,0.3648230105638504,0.012841391738484257,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,0.6099999999999997,4,0.34902507066726685,0.014463236044333075,0.3573008835315704,0.0199422071970018,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,0.7099999999999997,4,0.3657381683588028,0.014476643771081855,0.3623893797397614,0.014768427525067804,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,0.8099999999999996,4,0.35417827069759367,0.010386090811262811,0.3637168139219284,0.009653726372176215,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,0.9099999999999995,4,0.35807799100875853,0.016043336752316506,0.3471238940954208,0.009666394854785426,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,1.0099999999999996,4,0.35222841501235963,0.00979793039512012,0.35287611186504364,0.011028710204782457,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,1.1099999999999997,4,0.34470751881599426,0.012738212572316901,0.35088495910167694,0.009344561686724501,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,1.2099999999999993,4,0.3481894165277481,0.009749303971020305,0.34823008477687833,0.01611251228286395,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,1.3099999999999994,4,0.34958216845989226,0.008168738941882843,0.35132743418216705,0.011401852900737197,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,1.4099999999999995,4,0.34777159094810484,0.010102050865288568,0.348893803358078,0.015071878169182597,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,1.5099999999999996,4,0.35139275789260865,0.011736410362009902,0.3482300877571106,0.01546142298195202,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,1.6099999999999997,4,0.34721448719501496,0.010932039294479829,0.34358406960964205,0.019186659745379198,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,1.7099999999999993,4,0.3480501413345337,0.009638247887226944,0.3497787594795227,0.01090373645621114,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,1.8099999999999994,4,0.34902507066726685,0.01012411377754286,0.3517699122428894,0.011831630528918127,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,1.9099999999999995,4,0.34693593084812163,0.011167273744364404,0.33561947047710416,0.010284637345055716,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,46998,2089,5,-0.99,2.009999999999999,4,0.33955431580543516,0.00897870122473898,0.33849557638168337,0.01187293060193114,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
