dataset,num_nodes,num_edges,num_features,num_classes,K,a,b,seed,best_val_acc,best_test_acc,epochs_ran,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
Computers,13752,491722,767,10,10,-0.99,-0.99,0,0.9214545488357544,0.9149399995803833,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.99,1,0.914545476436615,0.9131224751472473,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.99,2,0.9203636646270752,0.912759006023407,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.99,3,0.9203636646270752,0.9098509550094604,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.99,4,0.9283636212348938,0.9131224751472473,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.99,5,0.9163636565208435,0.9167575240135193,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.99,6,0.9090909361839294,0.9218466281890869,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.99,7,0.9287272691726685,0.9116684794425964,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.99,8,0.9243636131286621,0.9160305261611938,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.99,9,0.918181836605072,0.9014903903007507,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.89,0,0.9240000247955322,0.9167575240135193,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.89,1,0.9189090728759766,0.9138495326042175,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.89,2,0.9207272529602051,0.9113049507141113,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.89,3,0.9225454330444336,0.9120320081710815,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Computers,13752,491722,767,10,10,-0.99,-0.89,4,0.930545449256897,0.9174845218658447,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
