id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s0,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,0,0.7922,0.7515,61,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s1,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,1,0.7982,0.7635,62,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s2,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,2,0.7922,0.7515,61,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s3,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,3,0.7982,0.7635,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s4,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,4,0.8042,0.7575,61,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s5,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,5,0.8042,0.7515,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s6,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,6,0.8012,0.7605,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s7,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,7,0.7982,0.7635,63,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s8,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,8,0.7892,0.7395,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s9,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,9,0.7952,0.7575,58,lr_wd_seed_batched
