dataset,num_nodes,num_edges,num_features,num_classes,a,b,K,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,n_seeds,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
Physics,34493,495924,8415,5,-0.99,-0.99,4,0.9689475238323212,0.0007386272429913983,0.9761449158191681,0.0012163653822111068,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.89,4,0.9692084670066834,0.0005470591454368088,0.9763478219509125,0.0012311131971058959,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.79,4,0.9687735438346863,0.0005030304705448487,0.9762028872966766,0.0010078537685682867,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.6900000000000001,4,0.9690925002098083,0.0009278044105712895,0.9768985450267792,0.0009617850743774081,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.5900000000000001,4,0.9691794753074646,0.0009173256406909508,0.9768695592880249,0.0007646963080773498,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.4900000000000001,4,0.9688315510749816,0.0009099682306618082,0.9761739075183868,0.0011135820654711306,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.3900000000000001,4,0.9699623107910156,0.0006885739400272871,0.9776521742343902,0.0011109519396046528,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.29000000000000015,4,0.9697593569755554,0.000767654940793225,0.977304345369339,0.0004109437714302498,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.19000000000000017,4,0.9703972160816192,0.0007935064471422087,0.9777681171894074,0.0007338602903652219,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,-0.09000000000000019,4,0.9704262256622315,0.0005021956973025009,0.977739131450653,0.0007076320643343091,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.009999999999999787,4,0.9706291735172272,0.00036789865533294255,0.9774782598018646,0.0004109437714302498,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.10999999999999965,4,0.9698463320732117,0.0005798786880959893,0.9770144879817962,0.000745221032176056,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.20999999999999974,4,0.9706001877784729,0.00023195892617872724,0.9776521742343902,0.0004927575588226319,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.30999999999999983,4,0.9702522695064545,0.0006885744418681933,0.9774202883243561,0.0006141967925329704,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.4099999999999997,4,0.97025226354599,0.0007692933170325459,0.9774202883243561,0.0006141967925329704,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.5099999999999996,4,0.9706001877784729,0.00043394545786101563,0.9772753596305848,0.0006760577932508634,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.6099999999999997,4,0.9705711901187897,0.0007806840538591192,0.9773913025856018,0.0004850241791051876,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.7099999999999997,4,0.9704262137413024,0.0008403209686382604,0.9772463738918304,0.0008223985081214584,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.8099999999999996,4,0.9701942682266236,0.0009942863930132403,0.9771594166755676,0.0008962172933397188,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,0.9099999999999995,4,0.9706581592559814,0.0009772328255404626,0.9773623168468475,0.0007384255617081353,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.0099999999999996,4,0.9698173344135285,0.0007499295977562782,0.976666659116745,0.0007696245844873378,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.1099999999999997,4,0.9705711841583252,0.0005689037823341206,0.9772753596305848,0.0005053836241349768,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.2099999999999993,4,0.9702232539653778,0.0007998327847025488,0.9773623168468475,0.0007718048284714414,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.3099999999999994,4,0.9703972101211548,0.000982802655442177,0.9771884024143219,0.0011525248777523218,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.4099999999999995,4,0.9708611249923706,0.0007131645178147305,0.9772753596305848,0.0006107674145713195,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.5099999999999996,4,0.9704841911792755,0.0008581419919033685,0.9773333311080933,0.0008177883275641822,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.6099999999999997,4,0.9701942503452301,0.0008678849417461833,0.9770724594593048,0.0006666719913482667,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.7099999999999993,4,0.9700202941894531,0.0004141193449315431,0.977304345369339,0.0004858895217719683,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.8099999999999994,4,0.9703972220420838,0.0009567986836544546,0.977304345369339,0.0006357068802474757,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,1.9099999999999995,4,0.9705421924591064,0.0006378699434457476,0.977739131450653,0.0006052399939636231,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.009999999999999,4,0.9706871509552002,0.0009479736494604048,0.9776811599731445,0.0006216748374514035,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.1099999999999994,4,0.9700782835483551,0.0003846516010619858,0.9772173881530761,0.0006883731552274869,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.209999999999999,4,0.9705711841583252,0.0009006802405714878,0.9775362312793732,0.0006766788846021118,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.3099999999999996,4,0.9700782835483551,0.0005314701978133557,0.9773623168468475,0.0006141967925329704,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.4099999999999993,4,0.9701072812080384,0.000556961381845133,0.9774202883243561,0.0007497171274598132,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.509999999999999,4,0.9699912965297699,0.0008327885298314521,0.9768695592880249,0.00108299657403834,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.6099999999999994,4,0.9701362729072571,0.001115422800524792,0.9768985450267792,0.0012094384159679042,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.709999999999999,4,0.9701652705669404,0.00035391857542724995,0.9774202883243561,0.0005257536817009242,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.8099999999999987,4,0.9705711841583252,0.0007913827173349188,0.9775652170181275,0.0008999593442429602,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,2.9099999999999993,4,0.9696433663368225,0.001181655113132315,0.9766086876392365,0.0012504247470978272,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,3.009999999999999,4,0.9695563971996307,0.0015009793433318976,0.9766086935997009,0.0015825654377302598,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.99,3.1099999999999985,4,0.9704262137413024,0.0007993022053115436,0.9776811599731445,0.0005650360691405057,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
