dataset,num_nodes,num_edges,num_features,num_classes,K,a,b,seed,best_val_acc,best_test_acc,epochs_ran,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
Physics,34493,495924,8415,5,4,-0.99,-0.99,0,0.9692664742469788,0.9759420156478882,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.99,1,0.9692664742469788,0.9747825860977173,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.99,2,0.9689764976501465,0.9765217304229736,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.99,3,0.9698463082313538,0.9742028713226318,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.99,4,0.9692664742469788,0.97826087474823,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.99,5,0.9672368764877319,0.9753623008728027,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.99,6,0.9698463082313538,0.9776811599731445,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.99,7,0.9683966636657715,0.9771014451980591,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.99,8,0.9689764976501465,0.9753623008728027,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.99,9,0.9683966636657715,0.9762318730354309,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.89,0,0.968686580657959,0.9768115878105164,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.89,1,0.9695563912391663,0.9736232161521912,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.89,2,0.9698463082313538,0.9776811599731445,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.89,3,0.9692664742469788,0.9756521582603455,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.89,4,0.970136284828186,0.9779710173606873,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.89,5,0.9689764976501465,0.9759420156478882,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.89,6,0.9681066870689392,0.9759420156478882,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.89,7,0.9692664742469788,0.9776811599731445,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.89,8,0.9689764976501465,0.9756521582603455,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.89,9,0.9692664742469788,0.9765217304229736,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.79,0,0.9692664742469788,0.9753623008728027,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.79,1,0.9689764976501465,0.9768115878105164,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.79,2,0.9689764976501465,0.9773913025856018,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.79,3,0.9689764976501465,0.9765217304229736,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.79,4,0.9689764976501465,0.9762318730354309,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.79,5,0.9689764976501465,0.9776811599731445,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.79,6,0.9675267934799194,0.9742028713226318,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.79,7,0.9689764976501465,0.9756521582603455,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.79,8,0.9681066870689392,0.9753623008728027,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.79,9,0.9689764976501465,0.9768115878105164,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.6900000000000001,0,0.9669469594955444,0.9753623008728027,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.6900000000000001,1,0.9692664742469788,0.9771014451980591,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.6900000000000001,2,0.9683966636657715,0.9771014451980591,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,4,-0.99,-0.6900000000000001,3,0.9689764976501465,0.9759420156478882,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
