dataset,num_nodes,num_edges,num_features,num_classes,a,b,K,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,n_seeds,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
Questions,48921,307080,301,2,-0.99,-0.99,4,0.9703188598155975,0.00012264847755432128,0.9714489996433258,0.000130869823754771,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,-0.89,4,0.9702779829502106,0.0001355876026925487,0.9713263809680939,0.00035457156696854533,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,-0.79,4,0.9701757788658142,0.0002810093089920621,0.9710606873035431,0.0005937436852107223,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,-0.6900000000000001,4,0.9701348900794983,0.0003475006889884997,0.9710198163986206,0.0007636048973500079,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,-0.5900000000000001,4,0.9698691546916962,0.0005346063938330338,0.9702840745449066,0.0011495788520930219,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,-0.4900000000000001,4,0.970012241601944,0.0005334348668242315,0.9707132637500763,0.000984594820761564,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,-0.3900000000000001,4,0.9700940072536468,0.0005488773308112799,0.9706928193569183,0.0010548514590644385,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,-0.29000000000000015,4,0.970012241601944,0.0005638979217338628,0.9707745671272278,0.0009801405987215786,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,-0.19000000000000017,4,0.9698691546916962,0.0006077596827700969,0.9700183928012848,0.0015240578178978316,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,-0.09000000000000019,4,0.9699509263038635,0.0006063842747846049,0.9705293238162994,0.001183952655450366,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,0.009999999999999787,4,0.970032685995102,0.0005346045705772735,0.9706110715866089,0.0012723787381956311,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,0.10999999999999965,4,0.9702575385570527,0.0003066122531890869,0.971183317899704,0.0008376741028962616,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,0.20999999999999974,4,0.970298421382904,0.0001839637756347656,0.9714490056037903,0.00038831359467309787,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,0.30999999999999983,4,0.970298421382904,0.0001839637756347656,0.9716125130653381,0.0003092734606487984,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,0.4099999999999997,4,0.9703393042087555,0.00014309457390480635,0.9716125071048737,0.00046108828212485924,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
