dataset,num_nodes,num_edges,num_features,num_classes,a,b,K,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,n_seeds,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
Squirrel,2223,93996,2089,5,-0.99,-0.99,4,0.47252251505851744,0.003153160640180219,0.36591928005218505,0.009865475513721748,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,93996,2089,5,-0.99,-0.89,4,0.47207207083702085,0.00825689765251015,0.36591928601264956,0.011555247521646177,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,93996,2089,5,-0.99,-0.79,4,0.47747748494148257,0.0028489065191996637,0.3713004499673843,0.014293620121693851,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,93996,2089,5,-0.99,-0.6900000000000001,4,0.4747747778892517,0.008826996361201768,0.36771300435066223,0.012198632022166112,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,93996,2089,5,-0.99,-0.5900000000000001,4,0.4774774819612503,0.005697805970143438,0.3645739883184433,0.010993415450104021,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,93996,2089,5,-0.99,-0.4900000000000001,4,0.47972973585128786,0.009286277070274183,0.3587443917989731,0.009617761169275329,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,93996,2089,5,-0.99,-0.3900000000000001,4,0.48333334028720853,0.004954958232970484,0.36636770963668824,0.010430227095278372,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,93996,2089,5,-0.99,-0.29000000000000015,4,0.4765765845775604,0.011537165081902261,0.3623318374156952,0.009146222633804612,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,93996,2089,5,-0.99,-0.19000000000000017,4,0.4756756812334061,0.020064022363301664,0.3654708474874496,0.011736547592990776,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,93996,2089,5,-0.99,-0.09000000000000019,4,0.48153153657913206,0.011297244735034871,0.36412555575370786,0.014709613861843586,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Squirrel,2223,93996,2089,5,-0.99,0.009999999999999787,4,0.4819819897413254,0.011033738303533824,0.3627802640199661,0.009502071524602638,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
