epoch,val_acc
0,0.4449
1,0.6762
2,0.7482
3,0.6869
4,0.6683
5,0.7807
6,0.8287
7,0.8524
8,0.8756
9,0.8789
10,0.8947
11,0.9045
12,0.9119
13,0.9138
14,0.9171
15,0.9141
16,0.9152
17,0.9182
18,0.9195
19,0.9193
20,0.9209
21,0.9223
22,0.9223
23,0.9261
24,0.9274
25,0.9266
26,0.9277
27,0.9299
28,0.9304
29,0.9304
30,0.9272
31,0.9269
32,0.9302
33,0.9315
34,0.9283
35,0.9307
36,0.9307
37,0.9321
38,0.9299
39,0.9324
40,0.9288
41,0.9285
42,0.9299
43,0.9272
44,0.9285
45,0.9294
46,0.9313
47,0.9302
48,0.9302
49,0.9294
50,0.9294
51,0.9326
52,0.9329
53,0.9329
54,0.9296
55,0.9283
56,0.9294
57,0.9304
58,0.9318
59,0.9310
60,0.9302
61,0.9288
62,0.9294
63,0.9288
64,0.9307
65,0.9307
66,0.9318
67,0.9356
68,0.9329
69,0.9321
70,0.9296
71,0.9299
72,0.9324
73,0.9294
74,0.9313
75,0.9277
76,0.9285
77,0.9337
78,0.9313
79,0.9307
80,0.9310
81,0.9302
82,0.9326
83,0.9337
84,0.9343
85,0.9302
86,0.9291
87,0.9294
