epoch,val_acc
0,0.2462
1,0.2527
2,0.2681
3,0.2747
4,0.2835
5,0.3121
6,0.3385
7,0.3626
8,0.3956
9,0.4330
10,0.4396
11,0.4462
12,0.4462
13,0.4462
14,0.4484
15,0.4571
16,0.4549
17,0.4571
18,0.4593
19,0.4549
20,0.4527
21,0.4462
22,0.4505
23,0.4593
24,0.4593
25,0.4527
26,0.4769
27,0.4857
28,0.4989
29,0.5011
30,0.5033
31,0.5121
32,0.5011
33,0.5055
34,0.5099
35,0.5121
36,0.5099
37,0.5099
38,0.5077
39,0.5099
40,0.5055
41,0.5121
42,0.5099
43,0.5121
44,0.5099
45,0.5033
46,0.5033
47,0.4989
48,0.5077
49,0.5099
50,0.5099
51,0.5165
52,0.5121
53,0.5165
54,0.5187
55,0.5187
56,0.5231
57,0.5275
58,0.5275
59,0.5231
60,0.5275
61,0.5297
62,0.5319
63,0.5385
64,0.5363
65,0.5385
66,0.5407
67,0.5385
68,0.5363
69,0.5385
70,0.5385
71,0.5407
72,0.5407
73,0.5363
74,0.5363
75,0.5385
76,0.5407
77,0.5385
78,0.5385
79,0.5451
80,0.5385
81,0.5385
82,0.5451
83,0.5451
84,0.5385
85,0.5341
86,0.5319
87,0.5319
88,0.5319
89,0.5253
90,0.5319
91,0.5341
92,0.5385
93,0.5429
94,0.5429
95,0.5451
96,0.5473
97,0.5495
98,0.5451
99,0.5429
100,0.5473
101,0.5473
102,0.5451
103,0.5451
104,0.5451
105,0.5473
106,0.5473
107,0.5451
108,0.5429
109,0.5429
110,0.5429
111,0.5429
112,0.5451
113,0.5451
114,0.5363
115,0.5319
116,0.5385
117,0.5385
