epoch,val_acc
0,0.4444
1,0.4722
2,0.4722
3,0.4722
4,0.4722
5,0.4722
6,0.4722
7,0.5000
8,0.5000
9,0.5000
10,0.5556
11,0.6111
12,0.6111
13,0.6389
14,0.6667
15,0.6667
16,0.6667
17,0.6944
18,0.6944
19,0.6944
20,0.6944
21,0.6944
22,0.6944
23,0.6944
24,0.6667
25,0.6667
26,0.6944
27,0.6944
28,0.6944
29,0.6944
30,0.6944
31,0.6944
32,0.6944
33,0.6944
34,0.7222
35,0.7222
36,0.7222
37,0.7222
38,0.7222
39,0.7222
40,0.6944
41,0.7222
42,0.7222
43,0.7222
44,0.6944
45,0.6944
46,0.6944
47,0.6944
48,0.6944
49,0.6944
50,0.6389
51,0.6389
52,0.6389
53,0.6389
54,0.6389
