epoch,val_acc
0,0.7695
1,0.7729
2,0.7729
3,0.7729
4,0.7729
5,0.7729
6,0.7729
7,0.7729
8,0.7729
9,0.7729
10,0.7729
11,0.7729
12,0.7729
13,0.7729
14,0.7729
15,0.7729
16,0.7729
17,0.7729
18,0.7729
19,0.7729
20,0.7729
21,0.7733
22,0.7746
23,0.7784
24,0.7818
25,0.7788
26,0.7792
27,0.7801
28,0.7809
29,0.7784
30,0.7801
31,0.7801
32,0.7797
33,0.7805
34,0.7801
35,0.7792
36,0.7814
37,0.7809
38,0.7797
39,0.7801
40,0.7797
41,0.7792
42,0.7801
43,0.7818
44,0.7822
45,0.7814
46,0.7814
47,0.7801
48,0.7797
49,0.7805
50,0.7805
51,0.7809
52,0.7801
53,0.7805
54,0.7792
55,0.7809
56,0.7797
57,0.7818
58,0.7814
59,0.7809
60,0.7801
61,0.7822
62,0.7818
63,0.7805
64,0.7805
