epoch,val_acc
0,0.1691
1,0.1691
2,0.1697
3,0.1757
4,0.1967
5,0.2467
6,0.2822
7,0.3053
8,0.3145
9,0.3184
10,0.3164
11,0.3112
12,0.3125
13,0.2987
14,0.2914
15,0.2888
16,0.2816
17,0.2836
18,0.2816
19,0.2789
20,0.2822
21,0.2875
22,0.2954
23,0.3020
24,0.3158
25,0.3151
26,0.3158
27,0.3191
28,0.3250
29,0.3263
30,0.3257
31,0.3303
32,0.3349
33,0.3375
34,0.3401
35,0.3434
36,0.3421
37,0.3441
38,0.3461
39,0.3408
40,0.3474
41,0.3480
42,0.3480
43,0.3454
44,0.3467
45,0.3500
46,0.3500
47,0.3493
48,0.3493
49,0.3493
50,0.3513
51,0.3493
52,0.3500
53,0.3507
54,0.3520
55,0.3526
56,0.3539
57,0.3539
58,0.3539
59,0.3553
60,0.3592
61,0.3586
62,0.3612
63,0.3566
64,0.3586
65,0.3533
66,0.3467
67,0.3461
68,0.3441
69,0.3447
70,0.3414
71,0.3441
72,0.3467
73,0.3474
74,0.3447
75,0.3467
76,0.3500
77,0.3500
78,0.3480
79,0.3467
80,0.3454
81,0.3474
82,0.3513
