epoch,val_acc
0,0.2752
1,0.4286
2,0.5639
3,0.6211
4,0.6556
5,0.6857
6,0.7158
7,0.7368
8,0.7474
9,0.7534
10,0.7489
11,0.7534
12,0.7564
13,0.7564
14,0.7549
15,0.7474
16,0.7429
17,0.7414
18,0.7459
19,0.7519
20,0.7534
21,0.7519
22,0.7549
23,0.7534
24,0.7579
25,0.7609
26,0.7564
27,0.7549
28,0.7489
29,0.7549
30,0.7549
31,0.7564
32,0.7564
33,0.7579
34,0.7609
35,0.7564
36,0.7534
37,0.7534
38,0.7564
39,0.7594
40,0.7609
41,0.7594
42,0.7564
43,0.7549
44,0.7579
45,0.7579
