epoch,val_acc
0,0.3320
1,0.3193
2,0.2436
3,0.2193
4,0.2618
5,0.3622
6,0.4211
7,0.4062
8,0.4207
9,0.4844
10,0.4891
11,0.4767
12,0.4716
13,0.4865
14,0.5178
15,0.5360
16,0.5393
17,0.5345
18,0.5396
19,0.5469
20,0.5556
21,0.5640
22,0.5658
23,0.5633
24,0.5647
25,0.5735
26,0.5738
27,0.6062
28,0.6193
29,0.6371
30,0.6473
31,0.6316
32,0.6498
33,0.6713
34,0.6836
35,0.6836
36,0.6873
37,0.6873
38,0.6945
39,0.7018
40,0.7051
41,0.7091
42,0.7171
43,0.7269
44,0.7342
45,0.7418
46,0.7513
47,0.7542
48,0.7593
49,0.7607
50,0.7582
51,0.7578
52,0.7618
53,0.7618
54,0.7695
55,0.7727
56,0.7731
57,0.7713
58,0.7713
59,0.7807
60,0.7865
61,0.7836
62,0.7905
63,0.7938
64,0.7964
65,0.7975
66,0.8022
67,0.8065
68,0.7996
69,0.8011
70,0.7996
71,0.8120
72,0.8113
73,0.8142
74,0.8091
75,0.8127
76,0.8087
77,0.8065
78,0.8055
79,0.8171
80,0.8196
81,0.8269
82,0.8324
83,0.8313
84,0.8345
85,0.8429
86,0.8495
87,0.8524
88,0.8596
89,0.8582
90,0.8545
91,0.8549
92,0.8578
93,0.8625
94,0.8673
95,0.8745
96,0.8727
97,0.8691
98,0.8720
99,0.8709
100,0.8775
101,0.8800
102,0.8760
103,0.8735
104,0.8684
105,0.8705
106,0.8731
107,0.8793
108,0.8785
109,0.8800
110,0.8793
111,0.8789
112,0.8778
113,0.8825
114,0.8825
115,0.8825
116,0.8840
117,0.8847
118,0.8804
119,0.8836
120,0.8869
121,0.8865
122,0.8858
123,0.8884
124,0.8887
125,0.8862
126,0.8895
127,0.8869
128,0.8851
129,0.8913
130,0.8855
131,0.8789
132,0.8844
133,0.8876
134,0.8873
135,0.8873
136,0.8884
137,0.8887
138,0.8895
139,0.8909
140,0.8855
141,0.8873
142,0.8884
143,0.8858
144,0.8855
145,0.8913
146,0.8884
147,0.8902
148,0.8880
149,0.8891
