epoch,val_acc
0,0.2828
1,0.3808
2,0.3586
3,0.3383
4,0.3697
5,0.4288
6,0.5139
7,0.6340
8,0.7043
9,0.7597
10,0.7763
11,0.8004
12,0.8207
13,0.8336
14,0.8318
15,0.8262
16,0.8226
17,0.8244
18,0.8466
19,0.8503
20,0.8484
21,0.8521
22,0.8577
23,0.8577
24,0.8632
25,0.8688
26,0.8706
27,0.8651
28,0.8614
29,0.8595
30,0.8595
31,0.8577
32,0.8651
33,0.8651
34,0.8651
35,0.8706
36,0.8725
37,0.8725
38,0.8725
39,0.8725
40,0.8651
41,0.8651
42,0.8632
43,0.8614
44,0.8614
45,0.8669
46,0.8669
47,0.8651
48,0.8669
49,0.8669
50,0.8614
51,0.8577
52,0.8558
53,0.8521
54,0.8540
55,0.8558
56,0.8558
