epoch,val_acc
0,0.4444
1,0.5000
2,0.5000
3,0.5000
4,0.5556
5,0.6389
6,0.6667
7,0.6944
8,0.6944
9,0.7222
10,0.7222
11,0.7222
12,0.6389
13,0.6111
14,0.5833
15,0.6111
16,0.5556
17,0.5556
18,0.5556
19,0.5556
20,0.5278
21,0.5278
22,0.5278
23,0.5556
24,0.5833
25,0.6667
26,0.6667
27,0.7222
28,0.7500
29,0.7222
30,0.7222
31,0.6944
32,0.6667
33,0.6667
34,0.7222
35,0.6944
36,0.6667
37,0.6667
38,0.6389
39,0.5833
40,0.5278
41,0.5278
42,0.5278
43,0.5278
44,0.5556
45,0.5278
46,0.5278
47,0.5278
48,0.5278
