epoch,val_acc
0,0.1412
1,0.2464
2,0.2444
3,0.1850
4,0.2346
5,0.2013
6,0.2203
7,0.2242
8,0.2176
9,0.2170
10,0.2275
11,0.2680
12,0.2817
13,0.2418
14,0.2621
15,0.3353
16,0.3758
17,0.3902
18,0.3882
19,0.3686
20,0.3739
21,0.4105
22,0.4405
23,0.4471
24,0.4556
25,0.4634
26,0.4830
27,0.5150
28,0.5484
29,0.5784
30,0.6039
31,0.6399
32,0.6837
33,0.7170
34,0.7301
35,0.7346
36,0.7425
37,0.7444
38,0.7719
39,0.7863
40,0.7817
41,0.7686
42,0.7882
43,0.8046
44,0.8098
45,0.8065
46,0.8013
47,0.8092
48,0.8203
49,0.8209
50,0.8268
51,0.8327
52,0.8346
53,0.8418
54,0.8458
55,0.8503
56,0.8549
57,0.8621
58,0.8654
59,0.8667
60,0.8719
61,0.8765
62,0.8804
63,0.8843
64,0.8863
65,0.8863
66,0.8908
67,0.8922
68,0.8954
69,0.9000
70,0.9085
71,0.9059
72,0.9052
73,0.9072
74,0.9039
75,0.9059
76,0.9105
77,0.9124
78,0.9144
79,0.9085
80,0.9078
81,0.9190
82,0.9203
83,0.9196
84,0.9163
85,0.9209
86,0.9222
87,0.9216
88,0.9229
89,0.9209
90,0.9183
91,0.9190
92,0.9203
93,0.9190
94,0.9261
95,0.9294
96,0.9261
97,0.9222
98,0.9203
99,0.9216
100,0.9275
101,0.9281
102,0.9268
103,0.9216
104,0.9209
105,0.9281
106,0.9294
107,0.9275
108,0.9281
109,0.9281
110,0.9288
111,0.9255
112,0.9157
113,0.9203
114,0.9248
115,0.9261
