epoch,val_acc
0,0.2644
1,0.2952
2,0.3048
3,0.3067
4,0.3038
5,0.3000
6,0.3038
7,0.3115
8,0.3192
9,0.3212
10,0.3317
11,0.3279
12,0.3308
13,0.3327
14,0.3337
15,0.3394
16,0.3462
17,0.3423
18,0.3404
19,0.3394
20,0.3452
21,0.3404
22,0.3413
23,0.3423
24,0.3404
25,0.3404
26,0.3356
27,0.3394
28,0.3394
29,0.3385
30,0.3404
31,0.3452
32,0.3462
33,0.3404
34,0.3452
35,0.3442
36,0.3471
37,0.3423
38,0.3462
39,0.3423
40,0.3346
41,0.3308
42,0.3317
43,0.3317
44,0.3317
45,0.3337
46,0.3365
47,0.3346
48,0.3375
49,0.3375
50,0.3404
51,0.3375
52,0.3404
53,0.3327
54,0.3269
55,0.3269
56,0.3269
