epoch,val_acc
0,0.2600
1,0.2400
2,0.2400
3,0.3400
4,0.5000
5,0.5800
6,0.6400
7,0.6600
8,0.7200
9,0.7600
10,0.7400
11,0.7400
12,0.7200
13,0.7200
14,0.7400
15,0.7400
16,0.7400
17,0.7400
18,0.7400
19,0.7200
20,0.7400
21,0.7400
22,0.7400
23,0.7400
24,0.7400
25,0.7800
26,0.7800
27,0.7800
28,0.7800
29,0.7800
30,0.7800
31,0.7800
32,0.7800
33,0.7600
34,0.7600
35,0.7600
36,0.7600
37,0.7600
38,0.7600
39,0.7600
40,0.7800
41,0.7800
42,0.7800
43,0.7800
44,0.7800
45,0.7800
