epoch,val_acc
0,0.3524
1,0.4083
2,0.4498
3,0.5308
4,0.6088
5,0.7204
6,0.7815
7,0.7965
8,0.8041
9,0.8142
10,0.8312
11,0.8478
12,0.8699
13,0.8813
14,0.8879
15,0.8955
16,0.9021
17,0.9097
18,0.9146
19,0.9163
20,0.9154
21,0.9154
22,0.9176
23,0.9187
24,0.9214
25,0.9231
26,0.9228
27,0.9212
28,0.9212
29,0.9223
30,0.9233
31,0.9239
32,0.9244
33,0.9242
34,0.9242
35,0.9258
36,0.9266
37,0.9266
38,0.9269
39,0.9264
40,0.9277
41,0.9274
42,0.9291
43,0.9283
44,0.9291
45,0.9285
46,0.9285
47,0.9274
48,0.9285
49,0.9280
50,0.9280
51,0.9277
52,0.9288
53,0.9285
54,0.9280
55,0.9285
56,0.9285
57,0.9296
58,0.9296
59,0.9304
60,0.9324
61,0.9315
62,0.9310
63,0.9310
64,0.9313
65,0.9315
66,0.9313
67,0.9313
68,0.9324
69,0.9321
70,0.9321
71,0.9315
72,0.9324
73,0.9318
74,0.9329
75,0.9332
76,0.9329
77,0.9329
78,0.9332
79,0.9332
80,0.9326
81,0.9326
82,0.9337
83,0.9334
84,0.9340
85,0.9340
86,0.9351
87,0.9340
88,0.9354
89,0.9351
90,0.9348
91,0.9345
92,0.9354
93,0.9348
94,0.9351
95,0.9348
96,0.9359
97,0.9348
98,0.9348
99,0.9343
100,0.9351
101,0.9334
102,0.9337
103,0.9340
104,0.9345
105,0.9340
106,0.9345
107,0.9343
108,0.9359
109,0.9354
110,0.9354
111,0.9356
112,0.9354
113,0.9359
114,0.9359
115,0.9356
116,0.9356
