epoch,val_acc
0,0.1604
1,0.2176
2,0.2615
3,0.2857
4,0.2989
5,0.3011
6,0.3099
7,0.3121
8,0.3253
9,0.3275
10,0.3319
11,0.3297
12,0.3341
13,0.3407
14,0.3341
15,0.3297
16,0.3319
17,0.3165
18,0.3011
19,0.3033
20,0.3560
21,0.3626
22,0.3516
23,0.3516
24,0.3538
25,0.3538
26,0.3648
27,0.3495
28,0.3670
29,0.3714
30,0.3758
31,0.3692
32,0.3560
33,0.3670
34,0.3736
35,0.3626
36,0.3626
37,0.3670
38,0.3780
39,0.3824
40,0.3890
41,0.3758
42,0.3714
43,0.3780
44,0.3934
45,0.3824
46,0.3802
47,0.3692
48,0.3670
49,0.3648
50,0.3802
51,0.3802
52,0.3802
53,0.3978
54,0.3978
55,0.3956
56,0.3890
57,0.3846
58,0.3934
59,0.3912
60,0.3846
61,0.3846
62,0.3736
63,0.3780
64,0.3890
65,0.3890
66,0.3912
67,0.3780
68,0.3758
69,0.3780
70,0.3934
71,0.3934
72,0.3824
73,0.3780
