epoch,val_acc
0,0.1182
1,0.3716
2,0.3720
3,0.1524
4,0.4222
5,0.3778
6,0.3738
7,0.3738
8,0.3738
9,0.3905
10,0.4604
11,0.4709
12,0.4418
13,0.4025
14,0.3742
15,0.3742
16,0.3767
17,0.4069
18,0.4167
19,0.4371
20,0.4833
21,0.5516
22,0.6076
23,0.6280
24,0.6444
25,0.6491
26,0.6542
27,0.6553
28,0.6531
29,0.6535
30,0.6578
31,0.6669
32,0.6720
33,0.6695
34,0.6662
35,0.6684
36,0.6778
37,0.6989
38,0.7149
39,0.7178
40,0.7207
41,0.7236
42,0.7207
43,0.7244
44,0.7316
45,0.7345
46,0.7313
47,0.7385
48,0.7524
49,0.7505
50,0.7476
51,0.7524
52,0.7800
53,0.7749
54,0.7585
55,0.7807
56,0.7898
57,0.7898
58,0.7767
59,0.7975
60,0.8004
61,0.7847
62,0.7905
63,0.8084
64,0.8004
65,0.7775
66,0.7793
67,0.8073
68,0.8098
69,0.7989
70,0.8007
71,0.8196
72,0.8225
73,0.8087
74,0.8062
75,0.8164
76,0.8189
77,0.8196
78,0.8185
79,0.8255
80,0.8276
81,0.8204
82,0.8233
83,0.8302
84,0.8284
85,0.8244
86,0.8244
87,0.8327
88,0.8295
89,0.8338
90,0.8247
91,0.8356
92,0.8356
93,0.8389
94,0.8255
95,0.8375
96,0.8400
97,0.8425
98,0.8353
99,0.8345
100,0.8396
101,0.8404
102,0.8320
103,0.8415
104,0.8433
105,0.8378
106,0.8425
107,0.8375
108,0.8418
109,0.8451
110,0.8436
111,0.8458
112,0.8462
113,0.8495
114,0.8480
115,0.8458
116,0.8513
117,0.8487
118,0.8495
119,0.8502
120,0.8495
121,0.8516
122,0.8509
123,0.8476
124,0.8527
125,0.8560
126,0.8440
127,0.8582
128,0.8545
129,0.8367
130,0.8567
131,0.8360
132,0.8345
133,0.8396
134,0.8484
135,0.8316
136,0.8000
137,0.8476
138,0.8345
139,0.8553
140,0.8302
141,0.8382
142,0.8487
143,0.8553
144,0.8607
145,0.8436
146,0.8422
147,0.8476
148,0.8538
149,0.8600
150,0.8458
151,0.8491
152,0.8542
153,0.8560
154,0.8444
155,0.8469
156,0.8633
157,0.8560
158,0.8509
159,0.8491
160,0.8513
161,0.8607
162,0.8655
163,0.8633
164,0.8567
165,0.8596
166,0.8600
167,0.8596
168,0.8564
169,0.8596
170,0.8673
171,0.8564
172,0.8575
173,0.8611
174,0.8615
175,0.8611
176,0.8665
177,0.8662
178,0.8644
179,0.8644
180,0.8549
181,0.8640
182,0.8655
183,0.8665
184,0.8549
185,0.8604
186,0.8636
187,0.8658
188,0.8625
189,0.8684
190,0.8662
191,0.8640
192,0.8662
193,0.8662
194,0.8676
195,0.8644
196,0.8676
197,0.8684
198,0.8647
199,0.8644
200,0.8687
201,0.8665
202,0.8520
203,0.8655
204,0.8647
205,0.8585
206,0.8524
207,0.8593
208,0.8680
209,0.8582
210,0.8516
211,0.8669
212,0.8735
213,0.8716
214,0.8611
215,0.8538
216,0.8673
217,0.8720
218,0.8705
219,0.8673
220,0.8687
221,0.8669
222,0.8698
223,0.8647
224,0.8767
225,0.8709
226,0.8705
227,0.8644
228,0.8738
229,0.8767
230,0.8771
231,0.8713
232,0.8724
233,0.8705
234,0.8738
235,0.8709
236,0.8782
237,0.8673
238,0.8596
239,0.8665
240,0.8767
241,0.8764
242,0.8735
243,0.8713
244,0.8745
245,0.8771
246,0.8738
247,0.8738
248,0.8771
249,0.8760
250,0.8716
251,0.8749
252,0.8716
253,0.8785
254,0.8633
255,0.8720
256,0.8738
257,0.8785
258,0.8720
259,0.8760
260,0.8753
261,0.8785
262,0.8807
263,0.8822
264,0.8767
265,0.8793
266,0.8800
267,0.8796
268,0.8727
269,0.8804
270,0.8796
271,0.8782
272,0.8731
273,0.8767
274,0.8793
275,0.8782
276,0.8749
277,0.8840
278,0.8713
279,0.8415
280,0.8756
281,0.8665
282,0.8415
283,0.8505
284,0.8618
285,0.8036
286,0.8276
287,0.8171
288,0.8204
289,0.7913
290,0.7785
291,0.7844
292,0.8280
293,0.8211
294,0.7829
295,0.8473
296,0.8255
297,0.8222
