epoch,val_acc
0,0.3808
1,0.3198
2,0.3346
3,0.4011
4,0.7006
5,0.7320
6,0.7264
7,0.7486
8,0.7708
9,0.7782
10,0.7837
11,0.8004
12,0.8447
13,0.8410
14,0.8484
15,0.8577
16,0.8466
17,0.8392
18,0.8299
19,0.8373
20,0.8429
21,0.8447
22,0.8410
23,0.8373
24,0.8355
25,0.8410
26,0.8466
27,0.8595
28,0.8540
29,0.8503
30,0.8373
31,0.8355
32,0.8336
33,0.8373
34,0.8503
35,0.8521
36,0.8484
37,0.8410
38,0.8466
39,0.8466
40,0.8429
41,0.8373
42,0.8373
43,0.8410
44,0.8392
45,0.8429
46,0.8392
47,0.8355
