epoch,val_acc
0,0.2255
1,0.2458
2,0.2464
3,0.4810
4,0.2405
5,0.2281
6,0.2549
7,0.3549
8,0.4961
9,0.4170
10,0.4608
11,0.4922
12,0.5869
13,0.5059
14,0.4961
15,0.4935
16,0.4935
17,0.5183
18,0.5288
19,0.5190
20,0.5065
21,0.5203
22,0.5497
23,0.5497
24,0.5660
25,0.6203
26,0.6536
27,0.6497
28,0.6516
29,0.6667
30,0.6810
31,0.7039
32,0.7288
33,0.7490
34,0.7627
35,0.7752
36,0.7824
37,0.7876
38,0.8033
39,0.8105
40,0.8033
41,0.8085
42,0.8085
43,0.8144
44,0.8144
45,0.8150
46,0.8157
47,0.8222
48,0.8281
49,0.8307
50,0.8294
51,0.8366
52,0.8425
53,0.8425
54,0.8464
55,0.8471
56,0.8438
57,0.8490
58,0.8549
59,0.8562
60,0.8575
61,0.8634
62,0.8699
63,0.8719
64,0.8758
65,0.8725
66,0.8719
67,0.8837
68,0.8843
69,0.8784
70,0.8771
71,0.8837
72,0.8824
73,0.8850
74,0.8882
75,0.8843
76,0.8895
77,0.8902
78,0.8869
79,0.8895
80,0.8902
81,0.8882
82,0.8889
83,0.8889
84,0.8895
85,0.8922
86,0.8935
87,0.8922
88,0.8915
89,0.8928
90,0.8974
91,0.9007
92,0.8993
93,0.8922
94,0.8941
95,0.8974
96,0.8974
97,0.8980
98,0.8974
99,0.8954
100,0.9000
101,0.9000
102,0.8993
103,0.8993
104,0.8993
105,0.8974
106,0.9000
107,0.9013
108,0.9039
109,0.9039
110,0.9033
111,0.9033
112,0.9046
113,0.9059
114,0.9046
115,0.9039
116,0.9065
117,0.9052
118,0.9052
119,0.9092
120,0.9124
121,0.9105
122,0.9065
123,0.9046
124,0.9092
125,0.9092
126,0.9111
127,0.9144
128,0.9118
129,0.9176
130,0.9150
131,0.9150
132,0.9137
133,0.9072
134,0.9150
135,0.9163
136,0.9157
137,0.9124
138,0.9203
139,0.9176
140,0.9163
141,0.9170
142,0.9196
143,0.9216
144,0.9222
145,0.9235
146,0.9203
147,0.9242
148,0.9229
149,0.9229
150,0.9203
151,0.9248
152,0.9170
153,0.9183
154,0.9196
155,0.9222
156,0.9235
157,0.9157
158,0.9183
159,0.9222
160,0.9183
161,0.9288
162,0.9190
163,0.9261
164,0.9203
165,0.9235
166,0.9222
167,0.9235
168,0.9255
169,0.9248
170,0.9275
171,0.9242
172,0.9288
173,0.9281
174,0.9281
175,0.9294
176,0.9281
177,0.9268
178,0.9301
179,0.9307
180,0.9320
181,0.9281
182,0.9294
183,0.9281
184,0.9301
185,0.9268
186,0.9268
187,0.9281
188,0.9301
189,0.9314
190,0.9340
191,0.9314
192,0.9333
193,0.9333
194,0.9301
195,0.9307
196,0.9314
197,0.9301
198,0.9353
199,0.9359
200,0.9340
201,0.9314
202,0.9307
203,0.9359
204,0.9333
205,0.9340
206,0.9327
207,0.9333
208,0.9346
209,0.9359
210,0.9379
211,0.9366
212,0.9333
213,0.9314
214,0.9333
215,0.9353
216,0.9333
217,0.9359
218,0.9340
219,0.9307
220,0.9359
221,0.9320
222,0.9301
223,0.9314
224,0.9314
225,0.9392
226,0.9359
227,0.9333
228,0.9340
229,0.9307
230,0.9353
231,0.9373
232,0.9340
233,0.9373
234,0.9333
235,0.9333
236,0.9327
237,0.9346
238,0.9359
239,0.9346
240,0.9340
241,0.9327
242,0.9346
243,0.9333
244,0.9373
245,0.9346
