epoch,val_acc
0,0.2029
1,0.2192
2,0.2356
3,0.2144
4,0.2221
5,0.2308
6,0.2356
7,0.2423
8,0.2442
9,0.2462
10,0.2510
11,0.2529
12,0.2615
13,0.2615
14,0.2673
15,0.2673
16,0.2769
17,0.2731
18,0.2740
19,0.2769
20,0.2721
21,0.2712
22,0.2721
23,0.2721
24,0.2798
25,0.2769
26,0.2712
27,0.2750
28,0.2750
29,0.2567
30,0.2673
31,0.2683
32,0.2712
33,0.2692
34,0.2683
35,0.2692
36,0.2692
37,0.2692
38,0.2702
39,0.2673
40,0.2663
41,0.2635
42,0.2654
43,0.2625
44,0.2712
