epoch,val_acc
0,0.4722
1,0.4722
2,0.4722
3,0.4722
4,0.4722
5,0.4444
6,0.4444
7,0.4444
8,0.4722
9,0.4722
10,0.4722
11,0.4722
12,0.4722
13,0.5000
14,0.5278
15,0.5278
16,0.5278
17,0.5278
18,0.5278
19,0.5278
20,0.5278
21,0.5278
22,0.5278
23,0.5278
24,0.5278
25,0.5278
26,0.5278
27,0.5556
28,0.4722
29,0.5000
30,0.4722
31,0.5278
32,0.5000
33,0.5000
34,0.5000
35,0.5000
36,0.5000
37,0.5000
38,0.5000
39,0.5000
40,0.5000
41,0.5000
42,0.5000
43,0.5278
44,0.5278
45,0.5278
46,0.5278
47,0.5278
