epoch,val_acc
0,0.1164
1,0.1164
2,0.2546
3,0.2783
4,0.2928
5,0.3033
6,0.3243
7,0.3197
8,0.3204
9,0.3125
10,0.3184
11,0.3243
12,0.3368
13,0.3428
14,0.3500
15,0.3533
16,0.3539
17,0.3539
18,0.3586
19,0.3553
20,0.3651
21,0.3730
22,0.3776
23,0.3757
24,0.3757
25,0.3789
26,0.3809
27,0.3776
28,0.3711
29,0.3704
30,0.3717
31,0.3743
32,0.3743
33,0.3717
34,0.3724
35,0.3678
36,0.3697
37,0.3717
38,0.3691
39,0.3671
40,0.3671
41,0.3632
42,0.3651
43,0.3697
44,0.3691
45,0.3658
46,0.3868
47,0.3928
48,0.3947
49,0.3947
50,0.3928
51,0.3914
52,0.3961
53,0.3980
54,0.3987
55,0.3914
56,0.3901
57,0.3980
58,0.3980
59,0.3967
60,0.3961
61,0.3961
62,0.4020
63,0.4013
64,0.3941
65,0.3914
66,0.3947
67,0.3967
68,0.3921
69,0.3921
70,0.3921
71,0.3974
72,0.3947
73,0.3921
74,0.3888
75,0.3829
76,0.3816
77,0.3842
78,0.3888
79,0.3875
80,0.3842
81,0.3822
82,0.3816
