epoch,val_acc
0,0.4029
1,0.5336
2,0.6075
3,0.6582
4,0.6994
5,0.7286
6,0.7515
7,0.7687
8,0.7932
9,0.8230
10,0.8456
11,0.8582
12,0.8672
13,0.8707
14,0.8778
15,0.8794
16,0.8813
17,0.8838
18,0.8846
19,0.8865
20,0.8882
21,0.8909
22,0.8920
23,0.8933
24,0.8961
25,0.8972
26,0.9002
27,0.9007
28,0.9004
29,0.9004
30,0.9010
31,0.9010
32,0.9018
33,0.9026
34,0.9056
35,0.9078
36,0.9127
37,0.9141
38,0.9152
39,0.9160
40,0.9154
41,0.9160
42,0.9171
43,0.9193
44,0.9198
45,0.9201
46,0.9187
47,0.9182
48,0.9190
49,0.9190
50,0.9184
51,0.9198
52,0.9201
53,0.9212
54,0.9220
55,0.9231
56,0.9225
57,0.9220
58,0.9217
59,0.9217
60,0.9214
61,0.9217
62,0.9209
63,0.9206
64,0.9212
65,0.9217
66,0.9217
67,0.9217
68,0.9225
69,0.9217
70,0.9217
71,0.9220
72,0.9223
73,0.9220
74,0.9231
75,0.9231
