epoch,val_acc
0,0.3560
1,0.2330
2,0.2330
3,0.2330
4,0.2330
5,0.2418
6,0.2549
7,0.2879
8,0.3956
9,0.4352
10,0.4396
11,0.4571
12,0.4791
13,0.4747
14,0.4923
15,0.5055
16,0.5055
17,0.5033
18,0.5055
19,0.5055
20,0.5143
21,0.5231
22,0.5121
23,0.5363
24,0.5363
25,0.5341
26,0.5209
27,0.5275
28,0.5407
29,0.5495
30,0.5429
31,0.5231
32,0.5231
33,0.5187
34,0.5187
35,0.5099
36,0.5187
37,0.5209
38,0.5231
39,0.5187
40,0.5143
41,0.5209
42,0.5121
43,0.5143
44,0.5209
45,0.5209
46,0.5209
47,0.5187
48,0.5165
49,0.5209
