epoch,val_acc
0,0.1835
1,0.3669
2,0.4737
3,0.5038
4,0.5113
5,0.5293
6,0.5744
7,0.5910
8,0.6060
9,0.6135
10,0.6241
11,0.6165
12,0.6135
13,0.6150
14,0.6376
15,0.6617
16,0.6767
17,0.6812
18,0.6887
19,0.6962
20,0.6977
21,0.7008
22,0.7023
23,0.6992
24,0.7083
25,0.7083
26,0.7068
27,0.7113
28,0.7188
29,0.7203
30,0.7203
31,0.7143
32,0.7173
33,0.7143
34,0.7143
35,0.7158
36,0.7158
37,0.7188
38,0.7173
39,0.7173
40,0.7128
41,0.7128
42,0.7053
43,0.7008
44,0.7038
45,0.7038
46,0.7023
47,0.7083
48,0.7038
49,0.7023
