epoch,val_acc
0,0.3742
1,0.1895
2,0.1607
3,0.2371
4,0.3742
5,0.3742
6,0.3742
7,0.3742
8,0.3742
9,0.3742
10,0.3742
11,0.3742
12,0.3742
13,0.3742
14,0.3902
15,0.4447
16,0.4316
17,0.4316
18,0.4593
19,0.4731
20,0.4938
21,0.5484
22,0.5622
23,0.5404
24,0.5622
25,0.5589
26,0.5658
27,0.5564
28,0.5495
29,0.5444
30,0.5524
31,0.5702
32,0.5825
33,0.5833
34,0.5767
35,0.5669
36,0.5738
37,0.5800
38,0.5585
39,0.5767
40,0.6593
41,0.6593
42,0.6265
43,0.6727
44,0.6644
45,0.6473
46,0.6600
47,0.6673
48,0.6680
49,0.6705
50,0.6735
51,0.6705
52,0.6953
53,0.6935
54,0.6902
55,0.6844
56,0.6844
57,0.6862
58,0.6898
59,0.6771
60,0.6807
61,0.6880
62,0.6862
63,0.6818
64,0.6785
65,0.6887
66,0.6989
67,0.6993
68,0.6956
69,0.6847
70,0.6760
71,0.6873
72,0.6960
73,0.6905
74,0.6945
75,0.6942
76,0.6927
77,0.6945
78,0.6953
79,0.6960
80,0.6989
81,0.6945
82,0.7007
83,0.6942
84,0.6953
85,0.6978
86,0.6985
87,0.6956
88,0.6895
89,0.6982
90,0.6985
91,0.6953
92,0.7007
93,0.6920
94,0.7007
95,0.6949
96,0.6953
97,0.6989
98,0.7007
99,0.6960
100,0.6975
101,0.6953
102,0.6975
