epoch,val_acc
0,0.2778
1,0.2778
2,0.3889
3,0.3611
4,0.3056
5,0.3056
6,0.3056
7,0.3056
8,0.3056
9,0.3056
10,0.3056
11,0.3056
12,0.3056
13,0.3056
14,0.3056
15,0.3056
16,0.3056
17,0.3056
18,0.3056
19,0.3333
20,0.3611
21,0.4722
22,0.5833
23,0.6389
24,0.6944
25,0.6944
26,0.6944
27,0.6667
28,0.6667
29,0.6667
30,0.6667
31,0.6667
32,0.6944
33,0.6944
34,0.6944
35,0.7222
36,0.7222
37,0.7222
38,0.7222
39,0.7500
40,0.7500
41,0.7778
42,0.8056
43,0.7778
44,0.7778
45,0.7778
46,0.7778
47,0.7778
48,0.8056
49,0.7778
50,0.7778
51,0.7500
52,0.7222
53,0.7222
54,0.7222
55,0.7222
56,0.7500
57,0.7222
58,0.7222
59,0.7222
60,0.7500
61,0.7500
62,0.7500
