epoch,val_acc
0,0.2569
1,0.2928
2,0.2948
3,0.3556
4,0.3686
5,0.3725
6,0.3804
7,0.3993
8,0.4065
9,0.4131
10,0.4307
11,0.4386
12,0.4458
13,0.4569
14,0.4575
15,0.4595
16,0.4654
17,0.4660
18,0.4660
19,0.4660
20,0.4667
21,0.4673
22,0.4693
23,0.4680
24,0.4680
25,0.4686
26,0.4680
27,0.4765
28,0.4752
29,0.4712
30,0.4784
31,0.4889
32,0.5601
33,0.5444
34,0.5444
35,0.5562
36,0.5542
37,0.5549
38,0.5654
39,0.5686
40,0.5556
41,0.5529
42,0.5556
43,0.5699
44,0.5627
45,0.5556
46,0.5667
47,0.5601
48,0.5484
49,0.5536
50,0.5575
51,0.5549
52,0.5497
53,0.5503
54,0.5569
55,0.5510
56,0.5529
57,0.5542
58,0.5634
59,0.5497
60,0.5484
61,0.5536
62,0.5458
63,0.5471
