epoch,val_acc
0,0.4444
1,0.4444
2,0.4444
3,0.4444
4,0.4444
5,0.4444
6,0.4444
7,0.4444
8,0.4444
9,0.4444
10,0.4444
11,0.4444
12,0.4444
13,0.4444
14,0.4444
15,0.4444
16,0.4444
17,0.4722
18,0.5556
19,0.6111
20,0.7222
21,0.7500
22,0.7500
23,0.7500
24,0.7500
25,0.7500
26,0.7500
27,0.7500
28,0.7778
29,0.8056
30,0.8056
31,0.8056
32,0.8333
33,0.8333
34,0.8333
35,0.8333
36,0.8333
37,0.8333
38,0.8333
39,0.8333
40,0.8333
41,0.8333
42,0.8056
43,0.8056
44,0.8056
45,0.8056
46,0.8056
47,0.8056
48,0.8056
49,0.8333
50,0.8611
51,0.8611
52,0.8611
53,0.8611
54,0.8611
55,0.8333
56,0.8333
57,0.8333
58,0.8333
59,0.8333
60,0.8611
61,0.8333
62,0.8333
63,0.8333
64,0.8333
65,0.8333
66,0.7778
67,0.7778
68,0.7778
69,0.7500
70,0.7500
