epoch,val_acc
0,0.5000
1,0.6600
2,0.7000
3,0.7000
4,0.7600
5,0.7400
6,0.7600
7,0.7600
8,0.7600
9,0.7600
10,0.7600
11,0.7600
12,0.7600
13,0.7600
14,0.7600
15,0.7600
16,0.7600
17,0.7600
18,0.7600
19,0.7800
20,0.7800
21,0.7800
22,0.7800
23,0.7800
24,0.8000
25,0.8000
26,0.8000
27,0.8200
28,0.8200
29,0.8200
30,0.8200
31,0.8200
32,0.8200
33,0.8200
34,0.8200
35,0.8000
36,0.8000
37,0.8200
38,0.8200
39,0.8200
40,0.8200
41,0.8200
42,0.8200
43,0.8200
44,0.8200
45,0.8200
46,0.8200
47,0.8200
