dataset,model,depth,hidden,eps,dropout,wd,relu,mean,std,count
Actor,mlp,4,32,na,,,,0.39516666666666667,0.012227973394366442,3
AmazonRatings,h2gcn,2,64,na,0.25,1e-05,1.0,0.48643333333333333,0.024726571402710323,3
CS,h2gcn,2,64,na,0.0,0.0005,1.0,0.9625333333333334,0.001270170592217149,3
Chameleon,fagcn,2,32,0.1,,,,0.4045,0.011200000000000009,3
CiteSeer,fagcn,4,16,0.2,,,,0.7665000000000001,0.0030000000000000027,3
Computers,h2gcn,1,64,na,0.25,0.0005,1.0,0.9030999999999999,0.001513274595042145,3
Cora,fagcn,4,64,0.5,,,,0.7855333333333334,0.02853144464154123,3
Cornell,mlp,2,16,na,,,,0.8946999999999999,0.0,3
Minesweeper,h2gcn,1,64,na,0.25,0.0005,0.0,0.8593333333333333,0.0005773502691895862,3
Photo,fagcn,3,64,0.4,,,,0.9464,0.003439476704383956,3
PubMed,h2gcn,2,64,na,0.0,0.0005,1.0,0.9037000000000001,0.00259807621135339,3
RomanEmpire,h2gcn,2,64,na,0.25,0.0,1.0,0.8201666666666666,0.0029687258770949914,3
Squirrel,fagcn,3,32,0.5,,,,0.40210000000000007,0.011324751652906136,3
Texas,h2gcn,2,64,na,0.0,0.0005,1.0,0.8596333333333334,0.06073724831874869,3
Tolokers,h2gcn,1,64,na,0.0,0.0005,1.0,0.7983333333333333,0.0024826061575153897,3
WikiCS,h2gcn,2,64,na,0.25,0.0,1.0,0.8300666666666666,0.005950070027599043,3
Wisconsin,fagcn,3,32,0.5,,,,0.8205333333333332,0.022227985363800565,3
