epoch,val_acc
0,0.1944
1,0.3056
2,0.3889
3,0.3889
4,0.4167
5,0.5000
6,0.5000
7,0.5278
8,0.5556
9,0.5556
10,0.5556
11,0.5833
12,0.5833
13,0.5833
14,0.5833
15,0.5833
16,0.5833
17,0.5556
18,0.5556
19,0.5833
20,0.6111
21,0.6111
22,0.6389
23,0.6111
24,0.6111
25,0.6389
26,0.6944
27,0.7778
28,0.7500
29,0.7222
30,0.7222
31,0.7500
32,0.6944
33,0.6667
34,0.6667
35,0.6667
36,0.6667
37,0.6944
38,0.6944
39,0.7222
40,0.7500
41,0.7500
42,0.7500
43,0.7500
44,0.7222
45,0.7222
46,0.7222
47,0.7222
