epoch,val_acc
0,0.1921
1,0.2197
2,0.2474
3,0.2632
4,0.2697
5,0.2961
6,0.2895
7,0.2921
8,0.2961
9,0.2934
10,0.2961
11,0.2974
12,0.2987
13,0.3026
14,0.3105
15,0.3118
16,0.3145
17,0.3171
18,0.3158
19,0.3197
20,0.3145
21,0.3105
22,0.3118
23,0.3132
24,0.3171
25,0.3145
26,0.3118
27,0.3105
28,0.3092
29,0.3105
30,0.3118
31,0.3145
32,0.3211
33,0.3197
34,0.3250
35,0.3289
36,0.3329
37,0.3342
38,0.3329
39,0.3329
40,0.3342
41,0.3342
42,0.3342
43,0.3303
44,0.3289
45,0.3289
46,0.3276
47,0.3276
48,0.3368
49,0.3368
50,0.3368
51,0.3355
52,0.3382
53,0.3421
54,0.3408
55,0.3395
56,0.3382
57,0.3408
58,0.3421
59,0.3434
60,0.3447
61,0.3447
62,0.3474
63,0.3539
64,0.3592
65,0.3632
66,0.3645
67,0.3566
68,0.3526
69,0.3526
70,0.3553
71,0.3579
72,0.3539
73,0.3579
74,0.3553
75,0.3553
76,0.3553
77,0.3566
78,0.3526
79,0.3500
80,0.3421
81,0.3447
82,0.3421
83,0.3461
84,0.3421
85,0.3434
86,0.3474
