epoch,val_acc
0,0.2800
1,0.2800
2,0.4800
3,0.6000
4,0.7200
5,0.6800
6,0.7200
7,0.7600
8,0.8000
9,0.8000
10,0.7600
11,0.7200
12,0.7200
13,0.7200
14,0.7200
15,0.7600
16,0.7600
17,0.8000
18,0.8000
19,0.8000
20,0.8000
21,0.8000
22,0.7600
23,0.7600
24,0.7600
25,0.7600
26,0.7600
27,0.8400
28,0.8800
29,0.8800
30,0.8800
31,0.8400
32,0.8400
33,0.7600
34,0.7200
35,0.6800
36,0.6800
37,0.7200
38,0.7200
39,0.6800
40,0.6400
41,0.6400
42,0.6400
43,0.6000
44,0.6000
45,0.6400
46,0.6400
47,0.6400
48,0.6400
