id,dataset,model,depth,hidden,eps,seed,test_acc
Cora_L2_H16_eps0.1_s0,Cora,fagcn,2,16,0.1,0,0.8750
Cora_L2_H16_eps0.1_s1,Cora,fagcn,2,16,0.1,1,0.8860
Cora_L2_H16_eps0.1_s2,Cora,fagcn,2,16,0.1,2,0.8860
Cora_L2_H16_eps0.2_s0,Cora,fagcn,2,16,0.2,0,0.8750
Cora_L2_H16_eps0.2_s1,Cora,fagcn,2,16,0.2,1,0.8676
Cora_L2_H16_eps0.2_s2,Cora,fagcn,2,16,0.2,2,0.8860
Cora_L2_H16_eps0.3_s0,Cora,fagcn,2,16,0.3,0,0.8640
Cora_L2_H16_eps0.3_s1,Cora,fagcn,2,16,0.3,1,0.8456
Cora_L2_H16_eps0.3_s2,Cora,fagcn,2,16,0.3,2,0.8713
Cora_L2_H16_eps0.4_s0,Cora,fagcn,2,16,0.4,0,0.8750
Cora_L2_H16_eps0.4_s1,Cora,fagcn,2,16,0.4,1,0.8235
Cora_L2_H16_eps0.4_s2,Cora,fagcn,2,16,0.4,2,0.8713
Cora_L2_H16_eps0.5_s0,Cora,fagcn,2,16,0.5,0,0.8676
Cora_L2_H16_eps0.5_s1,Cora,fagcn,2,16,0.5,1,0.8860
Cora_L2_H16_eps0.5_s2,Cora,fagcn,2,16,0.5,2,0.8713
Cora_L2_H32_eps0.1_s0,Cora,fagcn,2,32,0.1,0,0.8640
Cora_L2_H32_eps0.1_s1,Cora,fagcn,2,32,0.1,1,0.8713
Cora_L2_H32_eps0.1_s2,Cora,fagcn,2,32,0.1,2,0.8676
Cora_L2_H32_eps0.2_s0,Cora,fagcn,2,32,0.2,0,0.8713
Cora_L2_H32_eps0.2_s1,Cora,fagcn,2,32,0.2,1,0.8676
Cora_L2_H32_eps0.2_s2,Cora,fagcn,2,32,0.2,2,0.8566
Cora_L2_H32_eps0.3_s0,Cora,fagcn,2,32,0.3,0,0.8676
Cora_L2_H32_eps0.3_s1,Cora,fagcn,2,32,0.3,1,0.8713
Cora_L2_H32_eps0.3_s2,Cora,fagcn,2,32,0.3,2,0.8713
Cora_L2_H32_eps0.4_s0,Cora,fagcn,2,32,0.4,0,0.8750
Cora_L2_H32_eps0.4_s1,Cora,fagcn,2,32,0.4,1,0.8713
Cora_L2_H32_eps0.4_s2,Cora,fagcn,2,32,0.4,2,0.8750
Cora_L2_H32_eps0.5_s0,Cora,fagcn,2,32,0.5,0,0.8750
Cora_L2_H32_eps0.5_s1,Cora,fagcn,2,32,0.5,1,0.8750
Cora_L2_H32_eps0.5_s2,Cora,fagcn,2,32,0.5,2,0.8750
Cora_L2_H64_eps0.1_s0,Cora,fagcn,2,64,0.1,0,0.8787
Cora_L2_H64_eps0.1_s1,Cora,fagcn,2,64,0.1,1,0.8566
Cora_L2_H64_eps0.1_s2,Cora,fagcn,2,64,0.1,2,0.8640
Cora_L2_H64_eps0.2_s0,Cora,fagcn,2,64,0.2,0,0.8787
Cora_L2_H64_eps0.2_s1,Cora,fagcn,2,64,0.2,1,0.8713
Cora_L2_H64_eps0.2_s2,Cora,fagcn,2,64,0.2,2,0.8750
Cora_L2_H64_eps0.3_s0,Cora,fagcn,2,64,0.3,0,0.8640
Cora_L2_H64_eps0.3_s1,Cora,fagcn,2,64,0.3,1,0.8603
Cora_L2_H64_eps0.3_s2,Cora,fagcn,2,64,0.3,2,0.8750
Cora_L2_H64_eps0.4_s0,Cora,fagcn,2,64,0.4,0,0.8897
Cora_L2_H64_eps0.4_s1,Cora,fagcn,2,64,0.4,1,0.8713
Cora_L2_H64_eps0.4_s2,Cora,fagcn,2,64,0.4,2,0.8713
Cora_L2_H64_eps0.5_s0,Cora,fagcn,2,64,0.5,0,0.8787
Cora_L2_H64_eps0.5_s1,Cora,fagcn,2,64,0.5,1,0.8640
Cora_L2_H64_eps0.5_s2,Cora,fagcn,2,64,0.5,2,0.8529
Cora_L3_H16_eps0.1_s0,Cora,fagcn,3,16,0.1,0,0.8860
Cora_L3_H16_eps0.1_s1,Cora,fagcn,3,16,0.1,1,0.8934
Cora_L3_H16_eps0.1_s2,Cora,fagcn,3,16,0.1,2,0.8750
Cora_L3_H16_eps0.2_s0,Cora,fagcn,3,16,0.2,0,0.8750
Cora_L3_H16_eps0.2_s1,Cora,fagcn,3,16,0.2,1,0.8787
Cora_L3_H16_eps0.2_s2,Cora,fagcn,3,16,0.2,2,0.8934
Cora_L3_H16_eps0.3_s0,Cora,fagcn,3,16,0.3,0,0.8860
Cora_L3_H16_eps0.3_s1,Cora,fagcn,3,16,0.3,1,0.8750
Cora_L3_H16_eps0.3_s2,Cora,fagcn,3,16,0.3,2,0.8603
Cora_L3_H16_eps0.4_s0,Cora,fagcn,3,16,0.4,0,0.8824
Cora_L3_H16_eps0.4_s1,Cora,fagcn,3,16,0.4,1,0.8787
Cora_L3_H16_eps0.4_s2,Cora,fagcn,3,16,0.4,2,0.8603
Cora_L3_H16_eps0.5_s0,Cora,fagcn,3,16,0.5,0,0.8787
Cora_L3_H16_eps0.5_s1,Cora,fagcn,3,16,0.5,1,0.8824
Cora_L3_H16_eps0.5_s2,Cora,fagcn,3,16,0.5,2,0.8640
Cora_L3_H32_eps0.1_s0,Cora,fagcn,3,32,0.1,0,0.8860
Cora_L3_H32_eps0.1_s1,Cora,fagcn,3,32,0.1,1,0.8824
Cora_L3_H32_eps0.1_s2,Cora,fagcn,3,32,0.1,2,0.8713
Cora_L3_H32_eps0.2_s0,Cora,fagcn,3,32,0.2,0,0.8676
Cora_L3_H32_eps0.2_s1,Cora,fagcn,3,32,0.2,1,0.8824
Cora_L3_H32_eps0.2_s2,Cora,fagcn,3,32,0.2,2,0.8640
Cora_L3_H32_eps0.3_s0,Cora,fagcn,3,32,0.3,0,0.8676
Cora_L3_H32_eps0.3_s1,Cora,fagcn,3,32,0.3,1,0.8824
