epoch,val_acc
0,0.2778
1,0.3000
2,0.2926
3,0.2815
4,0.2852
5,0.2852
6,0.2926
7,0.3185
8,0.3630
9,0.4444
10,0.5222
11,0.5333
12,0.5593
13,0.5815
14,0.5889
15,0.6370
16,0.6741
17,0.7000
18,0.7037
19,0.7222
20,0.7185
21,0.7259
22,0.7370
23,0.7370
24,0.7370
25,0.7407
26,0.7370
27,0.7370
28,0.7259
29,0.7074
30,0.6926
31,0.6963
32,0.6926
33,0.6963
34,0.7037
35,0.7296
36,0.7296
37,0.7333
38,0.7407
39,0.7407
40,0.7370
41,0.7370
42,0.7333
43,0.7222
44,0.7222
45,0.7259
