epoch,val_acc
0,0.1072
1,0.0444
2,0.0458
3,0.0458
4,0.0471
5,0.1542
6,0.1647
7,0.1556
8,0.3294
9,0.3464
10,0.3059
11,0.3111
12,0.3752
13,0.4379
14,0.4471
15,0.4614
16,0.4575
17,0.4196
18,0.4000
19,0.4065
20,0.4366
21,0.4745
22,0.5033
23,0.4680
24,0.4667
25,0.5438
26,0.5412
27,0.5569
28,0.5477
29,0.5490
30,0.5569
31,0.5621
32,0.5634
33,0.5660
34,0.5634
35,0.5582
36,0.5621
37,0.5582
38,0.5634
39,0.5817
40,0.6013
41,0.6092
42,0.6261
43,0.6667
44,0.6641
45,0.6353
46,0.6340
47,0.6562
48,0.6993
49,0.7163
50,0.7255
51,0.7451
52,0.7569
53,0.7595
54,0.7608
55,0.7699
56,0.7739
57,0.7765
58,0.7882
59,0.7922
60,0.7882
61,0.7843
62,0.7856
63,0.7882
64,0.8039
65,0.7948
66,0.7922
67,0.8105
68,0.8157
69,0.8222
70,0.8092
71,0.8196
72,0.8248
73,0.8248
74,0.8301
75,0.8314
76,0.8327
77,0.8340
78,0.8353
79,0.8392
80,0.8431
81,0.8444
82,0.8458
83,0.8627
84,0.8797
85,0.8850
86,0.8889
87,0.8863
88,0.8876
89,0.9059
90,0.9072
91,0.9124
92,0.9072
93,0.9072
94,0.9137
95,0.9190
96,0.9163
97,0.9176
98,0.9203
99,0.9203
100,0.9137
101,0.9085
102,0.9163
103,0.9203
104,0.9229
105,0.9124
106,0.9137
107,0.9255
108,0.9242
109,0.9176
110,0.9229
111,0.9190
112,0.9163
113,0.9281
114,0.9268
115,0.9242
116,0.9281
117,0.9203
118,0.9229
119,0.9176
120,0.9242
121,0.9281
122,0.9137
123,0.9176
124,0.9320
125,0.9294
126,0.9359
127,0.9294
128,0.9216
129,0.9320
130,0.9333
131,0.9294
132,0.9359
133,0.9229
134,0.9176
135,0.9229
136,0.9333
137,0.9229
138,0.9176
139,0.9307
140,0.9242
141,0.9268
142,0.9333
143,0.9333
144,0.9333
145,0.9281
146,0.9255
