epoch,val_acc
0,0.1802
1,0.1712
2,0.2027
3,0.2297
4,0.2297
5,0.2883
6,0.3468
7,0.3378
8,0.3604
9,0.3784
10,0.4009
11,0.4099
12,0.4054
13,0.4099
14,0.4054
15,0.4054
16,0.4054
17,0.4099
18,0.4054
19,0.4144
20,0.4234
21,0.4324
22,0.4324
23,0.4550
24,0.4595
25,0.4459
26,0.4414
27,0.4324
28,0.4414
29,0.4505
30,0.4459
31,0.4369
32,0.4369
33,0.4369
34,0.4279
35,0.4369
36,0.4279
37,0.4234
38,0.4279
39,0.4279
40,0.4279
41,0.4234
42,0.4189
43,0.4144
44,0.4099
