epoch,val_acc
0,0.2504
1,0.2479
2,0.2479
3,0.2479
4,0.2487
5,0.2504
6,0.2573
7,0.2650
8,0.3094
9,0.4256
10,0.4923
11,0.4957
12,0.5068
13,0.5504
14,0.5692
15,0.5769
16,0.5872
17,0.5923
18,0.6017
19,0.5983
20,0.5991
21,0.6034
22,0.6171
23,0.6282
24,0.6376
25,0.6385
26,0.6410
27,0.6359
28,0.6453
29,0.6624
30,0.6761
31,0.6855
32,0.6932
33,0.6991
34,0.7034
35,0.7000
36,0.7068
37,0.7248
38,0.7385
39,0.7462
40,0.7521
41,0.7538
42,0.7598
43,0.7667
44,0.7641
45,0.7692
46,0.7735
47,0.7761
48,0.7829
49,0.7855
50,0.7855
51,0.7889
52,0.7846
53,0.7829
54,0.7889
55,0.7923
56,0.7923
57,0.7872
58,0.7872
59,0.7855
60,0.7949
61,0.8009
62,0.8060
63,0.8026
64,0.8060
65,0.8034
66,0.7923
67,0.7983
68,0.8051
69,0.8068
70,0.8137
71,0.8137
72,0.8145
73,0.8111
74,0.8120
75,0.8137
76,0.8103
77,0.8120
78,0.8111
79,0.8128
80,0.8085
81,0.8068
82,0.8128
83,0.8145
84,0.8188
85,0.8179
86,0.8197
87,0.8137
88,0.8197
89,0.8171
90,0.8111
91,0.8154
92,0.8154
93,0.8171
94,0.8162
95,0.8222
96,0.8103
97,0.8094
98,0.8128
99,0.8128
100,0.8145
101,0.8137
102,0.8197
103,0.8162
104,0.8137
105,0.8128
106,0.8068
107,0.8111
108,0.8154
109,0.8154
110,0.8145
111,0.8171
112,0.8162
113,0.8077
114,0.8068
115,0.8068
