epoch,val_acc
0,0.1968
1,0.3426
2,0.3601
3,0.3695
4,0.3802
5,0.3826
6,0.3859
7,0.3851
8,0.3855
9,0.3855
10,0.3855
11,0.3863
12,0.3855
13,0.3846
14,0.3851
15,0.3826
16,0.3826
17,0.3826
18,0.3818
19,0.3806
20,0.3785
21,0.3793
22,0.3802
23,0.3802
24,0.3806
25,0.3810
26,0.3822
27,0.3826
28,0.3855
29,0.3851
30,0.3846
31,0.3867
32,0.3867
33,0.3875
34,0.3879
35,0.3875
36,0.3859
37,0.3838
38,0.3855
39,0.3846
40,0.3851
41,0.3855
42,0.3842
43,0.3838
44,0.3908
45,0.3912
46,0.3912
47,0.3920
48,0.3912
49,0.3895
50,0.3900
51,0.3916
52,0.3916
53,0.3916
54,0.3928
55,0.3924
56,0.3932
57,0.3928
58,0.3932
59,0.3928
60,0.3949
61,0.3944
62,0.3949
63,0.3949
64,0.3965
65,0.3969
66,0.3969
67,0.3961
68,0.3953
69,0.3949
70,0.3981
71,0.3977
72,0.3961
73,0.3961
74,0.3977
75,0.4006
76,0.4034
77,0.4018
78,0.4018
79,0.4014
80,0.3993
81,0.4014
82,0.4026
83,0.4038
84,0.4051
85,0.4055
86,0.4026
87,0.4006
88,0.4014
89,0.4038
90,0.4079
91,0.4079
92,0.4051
93,0.3989
94,0.4002
95,0.4071
96,0.4104
97,0.4096
98,0.4067
99,0.4071
100,0.4079
101,0.4132
102,0.4124
103,0.4083
104,0.4034
105,0.4038
106,0.4112
107,0.4112
108,0.4096
109,0.4104
110,0.4104
111,0.4096
112,0.4083
113,0.4108
114,0.4108
115,0.4096
116,0.4079
117,0.4071
118,0.4136
119,0.4124
120,0.4120
121,0.4100
122,0.4063
123,0.4091
124,0.4100
125,0.4104
126,0.4104
127,0.4051
128,0.4083
129,0.4132
130,0.4140
131,0.4112
132,0.4100
133,0.4091
134,0.4112
135,0.4128
136,0.4116
137,0.4120
138,0.4128
139,0.4136
140,0.4132
141,0.4132
142,0.4116
143,0.4120
144,0.4136
145,0.4149
146,0.4153
147,0.4124
148,0.4087
149,0.4075
150,0.4128
151,0.4161
152,0.4153
153,0.4132
154,0.4075
155,0.4059
156,0.4071
157,0.4083
158,0.4100
159,0.4100
160,0.4091
161,0.4100
162,0.4112
163,0.4104
164,0.4108
165,0.4071
166,0.4075
167,0.4112
168,0.4108
169,0.4120
170,0.4087
171,0.4075
