epoch,val_acc
0,0.5237
1,0.6007
2,0.6252
3,0.7059
4,0.7965
5,0.8783
6,0.8882
7,0.8969
8,0.9023
9,0.9062
10,0.9143
11,0.9236
12,0.9274
13,0.9324
14,0.9345
15,0.9351
16,0.9356
17,0.9340
18,0.9329
19,0.9313
20,0.9313
21,0.9329
22,0.9362
23,0.9384
24,0.9405
25,0.9400
26,0.9411
27,0.9416
28,0.9405
29,0.9362
30,0.9362
31,0.9367
32,0.9378
33,0.9384
34,0.9411
35,0.9416
36,0.9422
37,0.9405
38,0.9405
39,0.9394
40,0.9389
41,0.9400
42,0.9378
43,0.9389
44,0.9378
45,0.9378
46,0.9384
47,0.9384
48,0.9405
49,0.9400
50,0.9411
51,0.9405
52,0.9422
53,0.9394
54,0.9394
55,0.9411
56,0.9389
