epoch,val_acc
0,0.1573
1,0.1910
2,0.2247
3,0.2247
4,0.2247
5,0.2697
6,0.3371
7,0.3708
8,0.2809
9,0.2584
10,0.2584
11,0.4045
12,0.4157
13,0.3933
14,0.4045
15,0.4157
16,0.3820
17,0.3820
18,0.3933
19,0.3933
20,0.4045
21,0.3820
22,0.3933
23,0.4157
24,0.4270
25,0.4157
26,0.4270
27,0.4270
28,0.4045
29,0.4157
30,0.4494
31,0.4607
32,0.4719
33,0.4719
34,0.4607
35,0.4607
36,0.4494
37,0.4494
38,0.4494
39,0.4382
40,0.4382
41,0.4270
42,0.4045
43,0.3820
44,0.4045
45,0.4270
46,0.4270
47,0.4270
48,0.4270
49,0.4382
50,0.4270
51,0.4157
52,0.4382
