epoch,val_acc
0,0.2259
1,0.2982
2,0.4398
3,0.6265
4,0.7139
5,0.7259
6,0.7440
7,0.7620
8,0.7801
9,0.7892
10,0.7741
11,0.7590
12,0.7711
13,0.7801
14,0.7771
15,0.7741
16,0.7771
17,0.7801
18,0.7861
19,0.7831
20,0.7801
21,0.7801
22,0.7741
23,0.7831
24,0.7801
25,0.7861
26,0.7922
27,0.7861
28,0.7831
29,0.7831
30,0.7831
31,0.7741
32,0.7711
33,0.7831
34,0.7861
35,0.7861
36,0.7831
37,0.7831
38,0.7831
39,0.7771
40,0.7771
41,0.7801
42,0.7831
43,0.7801
44,0.7801
45,0.7801
46,0.7801
