epoch,val_acc
0,0.3745
1,0.3636
2,0.3738
3,0.3789
4,0.3971
5,0.4262
6,0.3949
7,0.3796
8,0.4436
9,0.5018
10,0.5033
11,0.4960
12,0.5404
13,0.6175
14,0.5840
15,0.6073
16,0.6647
17,0.6575
18,0.6647
19,0.6655
20,0.6684
21,0.6742
22,0.6756
23,0.6771
24,0.7018
25,0.7236
26,0.7193
27,0.7309
28,0.7302
29,0.7251
30,0.7280
31,0.7375
32,0.7520
33,0.7527
34,0.7535
35,0.7513
36,0.7542
37,0.7753
38,0.7782
39,0.7847
40,0.7869
41,0.7840
42,0.7767
43,0.7840
44,0.8029
45,0.8087
46,0.8167
47,0.8276
48,0.8247
49,0.8385
50,0.8422
51,0.8524
52,0.8371
53,0.8291
54,0.8349
55,0.8436
56,0.8524
57,0.8531
58,0.8567
59,0.8509
60,0.8633
61,0.8538
62,0.8415
63,0.8596
64,0.8604
65,0.8647
66,0.8705
67,0.8618
68,0.8611
69,0.8691
70,0.8720
71,0.8807
72,0.8698
73,0.8640
74,0.8742
75,0.8807
76,0.8771
77,0.8727
78,0.8662
79,0.8749
80,0.8873
81,0.8880
82,0.8793
83,0.8655
84,0.8662
85,0.8764
86,0.8800
87,0.8793
88,0.8705
89,0.8742
90,0.8735
91,0.8771
92,0.8771
93,0.8793
94,0.8822
95,0.8691
96,0.8684
97,0.8785
98,0.8851
99,0.8931
100,0.8887
101,0.8742
102,0.8807
103,0.8880
104,0.8836
105,0.8815
106,0.8800
107,0.8815
108,0.8793
109,0.8865
110,0.8916
111,0.8931
112,0.8844
113,0.8778
114,0.8764
115,0.8844
116,0.8924
117,0.8938
118,0.8924
119,0.8895
120,0.8865
121,0.8851
122,0.8909
123,0.8938
124,0.8960
125,0.8909
126,0.8836
127,0.8807
128,0.8865
129,0.8865
130,0.8880
131,0.8895
132,0.8931
133,0.8953
134,0.8909
135,0.8880
136,0.8858
137,0.8924
138,0.8902
139,0.8880
140,0.8807
141,0.8895
142,0.8931
143,0.8953
144,0.8895
