epoch,val_acc
0,0.4333
1,0.4835
2,0.5378
3,0.6180
4,0.6322
5,0.6109
6,0.5840
7,0.5698
8,0.5753
9,0.5941
10,0.6159
11,0.6388
12,0.6514
13,0.6738
14,0.6854
15,0.7103
16,0.7296
17,0.7478
18,0.7707
19,0.7894
20,0.7925
21,0.7991
22,0.8113
23,0.8250
24,0.8346
25,0.8397
26,0.8422
27,0.8442
28,0.8422
29,0.8442
30,0.8463
31,0.8468
32,0.8468
33,0.8508
34,0.8483
35,0.8478
36,0.8493
37,0.8488
38,0.8488
39,0.8539
40,0.8579
41,0.8595
42,0.8605
43,0.8615
44,0.8620
45,0.8635
46,0.8645
47,0.8630
48,0.8630
49,0.8620
50,0.8640
51,0.8630
52,0.8630
53,0.8661
54,0.8661
55,0.8676
56,0.8666
57,0.8686
58,0.8686
59,0.8686
60,0.8671
61,0.8671
62,0.8671
63,0.8676
64,0.8676
65,0.8706
66,0.8727
67,0.8721
68,0.8737
69,0.8711
70,0.8696
71,0.8711
72,0.8721
73,0.8721
74,0.8716
75,0.8716
76,0.8706
77,0.8737
78,0.8732
79,0.8732
80,0.8706
81,0.8737
82,0.8757
83,0.8742
84,0.8721
85,0.8721
86,0.8742
87,0.8742
88,0.8762
89,0.8777
90,0.8727
91,0.8696
92,0.8716
93,0.8742
94,0.8777
95,0.8757
96,0.8711
97,0.8691
98,0.8732
99,0.8782
100,0.8792
101,0.8742
102,0.8716
103,0.8721
104,0.8737
105,0.8752
106,0.8742
107,0.8757
108,0.8767
109,0.8747
110,0.8752
111,0.8782
112,0.8787
113,0.8777
114,0.8757
115,0.8752
116,0.8777
117,0.8787
118,0.8787
119,0.8792
120,0.8721
