epoch,val_acc
0,0.1064
1,0.1267
2,0.1699
3,0.1540
4,0.1787
5,0.1801
6,0.1836
7,0.2026
8,0.2167
9,0.2520
10,0.2432
11,0.2282
12,0.2343
13,0.2489
14,0.2780
15,0.2860
16,0.2873
17,0.2838
18,0.2846
19,0.2930
20,0.3129
21,0.3332
22,0.3544
23,0.3733
24,0.3764
25,0.3861
26,0.3936
27,0.3870
28,0.3756
29,0.3778
30,0.3808
31,0.3853
32,0.3875
33,0.3932
34,0.3985
35,0.4166
36,0.4237
37,0.4329
38,0.4347
39,0.4356
40,0.4373
41,0.4356
42,0.4285
43,0.4281
44,0.4294
45,0.4285
46,0.4347
47,0.4395
48,0.4387
49,0.4378
50,0.4378
51,0.4351
52,0.4413
53,0.4497
54,0.4515
55,0.4501
56,0.4444
57,0.4426
58,0.4440
59,0.4559
60,0.4620
61,0.4616
62,0.4598
63,0.4634
64,0.4744
65,0.4793
66,0.4625
67,0.4598
68,0.4704
69,0.4903
70,0.4872
71,0.4735
72,0.4819
73,0.5044
74,0.4779
75,0.4841
76,0.5026
77,0.4868
78,0.4934
79,0.5124
80,0.4762
81,0.5318
82,0.4793
83,0.4938
84,0.5274
85,0.4894
86,0.4859
87,0.5331
88,0.4978
89,0.4943
90,0.5357
91,0.5084
92,0.4797
93,0.5313
94,0.5181
95,0.4757
96,0.5212
97,0.5344
98,0.4846
99,0.5199
100,0.5380
101,0.4951
102,0.5203
103,0.5393
104,0.4978
105,0.5335
106,0.5402
107,0.4951
108,0.5393
109,0.5221
110,0.4929
111,0.5190
112,0.5362
113,0.4766
114,0.5402
115,0.5252
116,0.5234
117,0.5004
118,0.5455
119,0.5472
120,0.5252
121,0.5216
122,0.5432
123,0.5388
124,0.5150
125,0.5296
126,0.5450
127,0.5305
128,0.5185
129,0.5459
130,0.5410
131,0.5097
132,0.5446
133,0.5450
134,0.5110
135,0.5384
136,0.5477
137,0.5318
138,0.5291
139,0.5485
140,0.5371
141,0.5274
142,0.5521
143,0.5459
144,0.5256
145,0.5424
146,0.5463
147,0.5291
148,0.5481
149,0.5490
150,0.5274
151,0.5441
152,0.5362
153,0.5305
154,0.5534
155,0.5402
156,0.5282
157,0.5596
158,0.5512
159,0.5265
160,0.5600
161,0.5596
162,0.5380
163,0.5499
164,0.5600
165,0.5468
166,0.5455
167,0.5538
168,0.5552
169,0.5432
170,0.5459
171,0.5552
172,0.5490
173,0.5472
174,0.5574
175,0.5547
176,0.5450
177,0.5432
178,0.5503
179,0.5534
180,0.5512
