epoch,val_acc
0,0.4444
1,0.3889
2,0.3889
3,0.4444
4,0.5000
5,0.5000
6,0.6111
7,0.6111
8,0.7222
9,0.7778
10,0.6667
11,0.7222
12,0.7222
13,0.7222
14,0.7222
15,0.7222
16,0.7778
17,0.8333
18,0.8333
19,0.7778
20,0.7778
21,0.7778
22,0.7778
23,0.7778
24,0.7778
25,0.8333
26,0.8333
27,0.8333
28,0.8333
29,0.8333
30,0.7778
31,0.8889
32,0.8333
33,0.8333
34,0.8889
35,0.8889
36,0.8889
37,0.8333
38,0.8333
39,0.7778
40,0.7778
41,0.7778
42,0.7778
43,0.7222
44,0.6667
45,0.6111
46,0.6667
47,0.6667
48,0.7222
49,0.7222
50,0.7778
51,0.7778
