epoch,val_acc
0,0.7779
1,0.7779
2,0.7779
3,0.7787
4,0.7796
5,0.7787
6,0.7796
7,0.7796
8,0.7796
9,0.7787
10,0.7779
11,0.7804
12,0.7804
13,0.7804
14,0.7804
15,0.7796
16,0.7804
17,0.7796
18,0.7804
19,0.7796
20,0.7796
21,0.7796
22,0.7796
23,0.7796
24,0.7796
25,0.7813
26,0.7813
27,0.7813
28,0.7813
29,0.7813
30,0.7804
31,0.7804
32,0.7813
33,0.7813
34,0.7813
35,0.7813
36,0.7813
37,0.7804
38,0.7804
39,0.7813
40,0.7804
41,0.7804
42,0.7804
43,0.7804
44,0.7796
45,0.7796
