epoch,val_acc
0,0.3142
1,0.3249
2,0.3742
3,0.5210
4,0.5608
5,0.5816
6,0.6086
7,0.6555
8,0.6819
9,0.7226
10,0.7911
11,0.8022
12,0.8151
13,0.8238
14,0.8282
15,0.8314
16,0.8396
17,0.8462
18,0.8524
19,0.8571
20,0.8661
21,0.8742
22,0.8805
23,0.8873
24,0.8887
25,0.8912
26,0.8974
27,0.8980
28,0.9004
29,0.9056
30,0.9062
31,0.9037
32,0.9078
33,0.9111
34,0.9119
35,0.9130
36,0.9108
37,0.9111
38,0.9141
39,0.9152
40,0.9152
41,0.9154
42,0.9160
43,0.9179
44,0.9193
45,0.9187
46,0.9201
47,0.9223
48,0.9223
49,0.9217
50,0.9231
51,0.9206
52,0.9206
53,0.9209
54,0.9212
55,0.9217
56,0.9206
57,0.9239
58,0.9233
59,0.9225
60,0.9223
61,0.9231
62,0.9214
63,0.9206
64,0.9214
65,0.9239
66,0.9220
67,0.9214
68,0.9233
69,0.9223
70,0.9236
71,0.9206
72,0.9239
73,0.9220
74,0.9233
75,0.9242
76,0.9214
77,0.9198
78,0.9220
79,0.9225
80,0.9231
81,0.9244
82,0.9242
83,0.9247
84,0.9236
85,0.9233
86,0.9231
87,0.9233
88,0.9233
89,0.9231
90,0.9220
91,0.9264
92,0.9239
93,0.9228
94,0.9233
95,0.9261
96,0.9244
97,0.9255
98,0.9231
99,0.9233
100,0.9239
101,0.9228
102,0.9201
103,0.9242
104,0.9231
105,0.9220
106,0.9258
107,0.9244
108,0.9231
109,0.9253
110,0.9217
111,0.9244
