epoch,val_acc
0,0.3771
1,0.3771
2,0.4251
3,0.5601
4,0.6451
5,0.6543
6,0.6636
7,0.6802
8,0.6876
9,0.6969
10,0.7172
11,0.7227
12,0.7375
13,0.7542
14,0.7579
15,0.7856
16,0.7948
17,0.7930
18,0.8004
19,0.8078
20,0.8096
21,0.8170
22,0.8244
23,0.8281
24,0.8336
25,0.8373
26,0.8392
27,0.8429
28,0.8484
29,0.8614
30,0.8614
31,0.8595
32,0.8521
33,0.8540
34,0.8540
35,0.8521
36,0.8521
37,0.8540
38,0.8595
39,0.8595
40,0.8595
41,0.8669
42,0.8632
43,0.8669
44,0.8632
45,0.8632
46,0.8669
47,0.8651
48,0.8632
49,0.8614
50,0.8614
51,0.8614
52,0.8632
53,0.8651
54,0.8614
55,0.8614
56,0.8595
57,0.8595
58,0.8558
59,0.8614
60,0.8632
61,0.8632
