epoch,val_acc
0,0.4045
1,0.4045
2,0.3483
3,0.2921
4,0.2697
5,0.2472
6,0.3034
7,0.4270
8,0.4382
9,0.4382
10,0.4831
11,0.4719
12,0.4719
13,0.4607
14,0.4607
15,0.4831
16,0.4607
17,0.4719
18,0.4831
19,0.4719
20,0.4719
21,0.4831
22,0.5056
23,0.5169
24,0.4944
25,0.4944
26,0.4831
27,0.4944
28,0.5281
29,0.5056
30,0.5056
31,0.4944
32,0.5169
33,0.5281
34,0.5169
35,0.5169
36,0.5169
37,0.5169
38,0.5056
39,0.5056
40,0.5056
41,0.5056
42,0.4944
43,0.4831
44,0.4719
45,0.4831
46,0.4719
47,0.4944
48,0.4831
