epoch,val_acc
0,0.3760
1,0.1695
2,0.0575
3,0.3731
4,0.3738
5,0.3724
6,0.1913
7,0.2553
8,0.3913
9,0.3731
10,0.3818
11,0.5113
12,0.5164
13,0.6000
14,0.4851
15,0.4102
16,0.4189
17,0.4916
18,0.5731
19,0.6255
20,0.6204
21,0.5767
22,0.6262
23,0.6873
24,0.6902
25,0.6807
26,0.7040
27,0.7076
28,0.6996
29,0.7156
30,0.7142
31,0.7062
32,0.7142
33,0.7258
34,0.7229
35,0.7287
36,0.7215
37,0.7367
38,0.7484
39,0.7571
40,0.7600
41,0.7636
42,0.7782
43,0.7935
44,0.8007
45,0.7942
46,0.8175
47,0.8095
48,0.8160
49,0.8276
50,0.8305
51,0.8371
52,0.8262
53,0.8378
54,0.8335
55,0.8327
56,0.8349
57,0.8509
58,0.8400
59,0.8422
60,0.8458
61,0.8538
62,0.8480
63,0.8538
64,0.8509
65,0.8545
66,0.8582
67,0.8655
68,0.8647
69,0.8647
70,0.8633
71,0.8662
72,0.8720
73,0.8742
74,0.8727
75,0.8727
76,0.8698
77,0.8778
78,0.8756
79,0.8727
80,0.8633
81,0.8640
82,0.8720
83,0.8785
84,0.8764
85,0.8749
86,0.8836
87,0.8829
88,0.8836
89,0.8829
90,0.8785
91,0.8844
92,0.8851
93,0.8836
94,0.8793
95,0.8807
96,0.8829
97,0.8815
98,0.8815
99,0.8807
100,0.8844
101,0.8880
102,0.8895
103,0.8924
104,0.8916
105,0.8858
106,0.8727
107,0.8865
108,0.8807
109,0.8902
110,0.8880
111,0.8742
112,0.8865
113,0.8742
114,0.8829
115,0.8822
116,0.8880
117,0.8880
118,0.8873
119,0.8858
120,0.8902
121,0.8945
122,0.8902
123,0.8953
124,0.8975
125,0.8880
126,0.8967
127,0.8858
128,0.8873
129,0.8916
130,0.8989
131,0.8982
132,0.8938
133,0.8953
134,0.8982
135,0.8945
136,0.9011
137,0.8953
138,0.8960
139,0.8945
140,0.9025
141,0.8967
142,0.9011
143,0.9069
144,0.9025
145,0.8975
146,0.8967
147,0.8982
148,0.8996
149,0.8916
150,0.8902
151,0.8989
152,0.8909
153,0.8945
154,0.8953
155,0.8953
156,0.8953
157,0.9033
158,0.9011
159,0.9040
160,0.8953
161,0.9084
162,0.9062
163,0.8938
164,0.9004
165,0.8982
166,0.8960
167,0.8996
168,0.9055
169,0.9011
170,0.8960
171,0.8982
172,0.8975
173,0.8902
174,0.9025
175,0.9025
176,0.8865
177,0.8844
178,0.8713
179,0.8349
180,0.8502
181,0.8611
